# Baseline 算法汇总（7 groups，含 GDSF）

使用 docs/20260423-ablation-per-group/cmaes版本LOH-autocompound-cache0001-autocompound-cache0001 的表2/表3(best_LOH) 与 表4/表5(baseline) 生成。

**best_LOH 策略**: 各 group 文档表2/表3中 best_LOH 列（20260422 auto_compound 全局最优选取）。

## 数据来源清单

- best_LOH MR: 各 group 文档表2的 best_LOH 列
- best_LOH BMR: 各 group 文档表3的 best_LOH 列
- 其他算法 MR: 各 group 文档表4（不含 best_LOH 列）
- 其他算法 BMR: 各 group 文档表5（不含 best_LOH 列）
- 加权类指标: 各 group 文档表1 的 n_req 加权

## MR 平均值

| group | n_traces | ARC | Cacheus | GLCache | LHD | LRU | LeCaR | S3FIFO-0.1000-2 | Sieve | WTinyLFU-w0.01-SLRU | LRB-BMR | ThreeLCache-BMR | best_LOH |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| alibabaBlock | 1000 | 0.585582 | 0.584440 | 0.648137 | 0.574370 | 0.634945 | 0.607763 | 0.577319 | 0.604039 | 0.648592 | 0.603472 | 0.590067 | **0.574214** |
| cloudphysics | 106 | 0.708905 | 0.701745 | 0.712091 | 0.682930 | 0.727128 | 0.715945 | 0.693799 | 0.710410 | 0.701489 | 0.706098 | 0.688253 | **0.765445** |
| metaCDN | 3 | 0.583300 | 0.564700 | 0.481800 | 0.501200 | 0.562667 | 0.562800 | 0.558700 | 0.567467 | 0.515600 | 0.546267 | 0.561867 | **0.419432** |
| metaKV | 5 | 0.235098 | 0.240910 | 0.171708 | 0.154849 | 0.252075 | 0.226573 | 0.220275 | 0.228040 | 0.210111 | 0.208116 | 0.207017 | **0.314517** |
| tencentBlock | 4755 | 0.488223 | 0.474700 | 0.550048 | 0.466423 | 0.514964 | 0.491280 | 0.463722 | 0.488016 | 0.578307 | 0.494469 | 0.465706 | **0.536223** |
| tencentPhoto | 2 | 0.694000 | 0.675950 | 0.751400 | 0.613650 | 0.702650 | 0.682550 | 0.667450 | 0.690100 | 0.691800 | 0.673150 | 0.660550 | **0.613523** |
| wiki | 3 | 0.551733 | 0.572000 | 0.532933 | 0.454167 | 0.636867 | 0.584133 | 0.522467 | 0.530733 | 0.521000 | 0.508933 | 0.509467 | **0.440685** |
| **coverage** | - | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5873/5874 | 5874/5874 |
| **avg(7 groups)** | - | 0.549549 | 0.544921 | 0.549731 | 0.492513 | 0.575899 | 0.553006 | 0.529105 | 0.545544 | 0.552414 | 0.534358 | 0.526132 | 0.467766 |
