file,trace,dataset,cache_size_mib,loh_mr,loh_bmr,loh_mr_runtime,loh_bmr_runtime,baseline_best_mr,baseline_best_mr_algo,baseline_best_bmr,baseline_best_bmr_algo,mr_gain_vs_best,bmr_gain_vs_best,matched_algo_count
ab_alibabaBlock_0.cachesim,alibabaBlock_0,alibabaBlock,790.0,0.390333,0.922752,80.3,285.3,0.3751,GDSF,0.9254,GDSF,-0.04061050386563582,0.0028614653122973673,12
ab_alibabaBlock_1.cachesim,alibabaBlock_1,alibabaBlock,12.0,0.253385,0.462139,67.0,78.5,0.2368,ThreeLCache-BMR,0.433,ThreeLCache-BMR,-0.07003800675675682,-0.06729561200923793,12
ab_alibabaBlock_100.cachesim,alibabaBlock_100,alibabaBlock,151.0,0.871117,0.942645,423.5,441.3,0.8718,WTinyLFU-w0.01-SLRU,0.9392,WTinyLFU-w0.01-SLRU,0.0007834365680201757,-0.00366801533219753,12
ab_alibabaBlock_101.cachesim,alibabaBlock_101,alibabaBlock,2.0,0.572509,0.766258,14.7,27.6,0.564,LHD,0.7632,LRB-BMR,-0.015086879432624292,-0.0040068134171907825,12
ab_alibabaBlock_102.cachesim,alibabaBlock_102,alibabaBlock,3.0,0.517708,0.874093,4.2,25.0,0.4992,ARC,0.713,ARC,-0.037075320512820455,-0.225936886395512,12
ab_alibabaBlock_103.cachesim,alibabaBlock_103,alibabaBlock,361.0,0.772902,0.867498,477.1,349.0,0.7897,WTinyLFU-w0.01-SLRU,0.8909,WTinyLFU-w0.01-SLRU,0.02127136887425602,0.026267819059378195,12
ab_alibabaBlock_104.cachesim,alibabaBlock_104,alibabaBlock,1.0,0.482189,0.721328,9.5,23.4,0.4831,GDSF,0.7217,GDSF,0.0018857379424549684,0.0005154496328114715,12
ab_alibabaBlock_105.cachesim,alibabaBlock_105,alibabaBlock,21.0,0.535458,0.750996,10.1,19.6,0.5277,GDSF,0.7088,LRB-BMR,-0.014701534963047267,-0.05953160270880363,12
ab_alibabaBlock_106.cachesim,alibabaBlock_106,alibabaBlock,350.0,0.747369,0.853258,471.2,411.6,0.7736,GLCache,0.8752,GLCache,0.03390770423991728,0.025070840950639873,12
ab_alibabaBlock_107.cachesim,alibabaBlock_107,alibabaBlock,3072.0,0.743372,0.702876,18831.7,5810.2,0.4893,GDSF,0.855,GDSF,-0.5192560801144492,0.1779228070175439,12
ab_alibabaBlock_108.cachesim,alibabaBlock_108,alibabaBlock,20.0,0.562207,0.854343,14.9,71.1,0.5656,GDSF,0.8468,LRB-BMR,0.005998939179632213,-0.008907652338214415,12
ab_alibabaBlock_109.cachesim,alibabaBlock_109,alibabaBlock,358.0,0.769758,0.859916,359.9,360.5,0.7733,GLCache,0.8762,GLCache,0.004580369843527653,0.018584797991326143,12
ab_alibabaBlock_11.cachesim,alibabaBlock_11,alibabaBlock,60.0,0.707551,0.833222,67.4,152.7,0.6937,ThreeLCache-BMR,0.8049,ThreeLCache-BMR,-0.019966844457258263,-0.035186979749037235,12
ab_alibabaBlock_110.cachesim,alibabaBlock_110,alibabaBlock,2.0,0.34178,0.770149,0.9,1.4,0.3422,GDSF,0.7596,Cacheus,0.001227352425482266,-0.013887572406529646,12
ab_alibabaBlock_111.cachesim,alibabaBlock_111,alibabaBlock,363.0,0.741657,0.859234,651.9,446.8,0.7894,WTinyLFU-w0.01-SLRU,0.8887,WTinyLFU-w0.01-SLRU,0.06048011147707117,0.03315629571283897,12
ab_alibabaBlock_112.cachesim,alibabaBlock_112,alibabaBlock,18.0,0.418638,0.852641,39.2,271.8,0.4216,GDSF,0.6987,ThreeLCache-BMR,0.007025616698292137,-0.22032488907971948,12
ab_alibabaBlock_113.cachesim,alibabaBlock_113,alibabaBlock,15.0,0.22594,0.525498,49.1,87.8,0.2194,ThreeLCache-BMR,0.5021,ThreeLCache-BMR,-0.029808568824065587,-0.0466002788289186,12
ab_alibabaBlock_114.cachesim,alibabaBlock_114,alibabaBlock,4.0,0.480152,0.822522,9.8,41.4,0.4879,GDSF,0.7939,ThreeLCache-BMR,0.015880303340848487,-0.03605239954654229,12
ab_alibabaBlock_115.cachesim,alibabaBlock_115,alibabaBlock,16.0,0.220358,0.530359,49.5,88.3,0.2111,ThreeLCache-BMR,0.5031,ThreeLCache-BMR,-0.04385599242065366,-0.05418207115881541,12
