cache_profile,group,trace,n_req,main_algo,main_qps,cmaes_v7_qps,drl_v7_qps,RSD_qps,ARC_qps,Cacheus_qps,GLCache_qps,LHD_qps,LRU_qps,LeCaR_qps,S3FIFO_qps,Sieve_qps,WTinyLFU_qps,LRB_qps,ThreeLCache_OMR_qps,ThreeLCache_BMR_qps,ThreeLCache_avg_qps
cache0001_step2,alibabaBlock,alibabaBlock_0,13934482,step2,541524.6418740217,59302.53782346324,36781.877483123026,,6560000.0,1600000.0,3510000.0,1750000.0,7520000.0,4920000.0,4400000.0,7020000.0,2380000.0,20000.0,595490.6837606838,810000.0,702745.3418803419
cache0001_step2,alibabaBlock,alibabaBlock_1,22462800,step2,1397847.4025974025,194483.1168831169,103849.09834685893,,9120000.0,2870000.0,3920000.0,3660000.0,9640000.0,6620000.0,6570000.0,10320000.0,3580000.0,30000.0,1337071.4285714284,1150000.0,1243535.714285714
cache0001_step2,alibabaBlock,alibabaBlock_10,2756726994,step2,709999.8534231693,22031.18321375006,13266.060575076808,,2370000.0,760000.0,1840000.0,830000.0,4880000.0,2140000.0,1780000.0,5380000.0,920000.0,0.0,419089.2220921571,460000.0,439544.61104607856
cache0001_step2,alibabaBlock,alibabaBlock_100,13314727,step2,239663.81119249365,18552.855177623234,13613.360165779457,,4580000.0,1090000.0,2080000.0,1390000.0,5280000.0,3390000.0,2750000.0,5650000.0,1550000.0,10000.0,388184.46064139943,560000.0,474092.23032069975
cache0001_step2,alibabaBlock,alibabaBlock_101,2680631,step2,749826.8531468532,,47068.42883907723,,6190000.0,1690000.0,1870000.0,2069999.9999999998,6400000.0,3990000.0,4200000.0,6730000.0,2460000.0,20000.0,496413.1481481481,350000.0,423206.57407407404
cache0001_step2,alibabaBlock,alibabaBlock_102,1020214,step2,850178.3333333333,54498.61111111111,61132.00429184549,,6960000.0,2040000.0,2720000.0,2290000.0,7530000.0,5360000.0,4690000.0,7790000.0,2800000.0,30000.0,680142.6666666666,490000.0,585071.3333333333
cache0001_step2,alibabaBlock,alibabaBlock_103,14648866,step2,217020.23703703703,,15178.047807669334,,4450000.0,930000.0,1950000.0,1420000.0,5190000.0,3590000.0,2680000.0,5060000.0,1610000.0,10000.0,405785.76177285315,520000.0,462892.88088642654
cache0001_step2,alibabaBlock,alibabaBlock_104,2442829,step2,574169.2094017094,,49373.64255590037,,5550000.0,1880000.0,960000.0,2460000.0,6590000.0,4990000.0,4380000.0,6710000.0,3010000.0,20000.0,444150.7272727273,250000.0,347075.36363636365
cache0001_step2,alibabaBlock,alibabaBlock_105,4240092,step2,587102.1199388846,137908.6546089816,82720.82263211987,,5310000.0,1700000.0,2009999.9999999998,2270000.0,6830000.0,4590000.0,4220000.0,6950000.0,2350000.0,20000.0,652321.8461538461,320000.0,486160.92307692306
cache0001_step2,alibabaBlock,alibabaBlock_106,14375371,step2,197135.97038645638,,14952.780769160563,,4470000.0,930000.0,1970000.0,1500000.0,5320000.0,3610000.0,2730000.0,4940000.0,1620000.0,10000.0,406083.92655367235,530000.0,468041.9632768362
