algo,algo_display,mr_value,bmr_value
LRU,LRU,0.7234166666666667,0.4203833333333334
LHD,LHD,0.32058333333333333,0.7026
ARC,ARC,0.73635,0.48488333333333333
Sieve,SIEVE,0.6967666666666666,0.52625
S3FIFO-0.1000-2,S3-FIFO,0.48855,0.17101666666666668
WTinyLFU-w0.01-SLRU,W-TinyLFU,0.5124333333333334,0.25708333333333333
LeCaR,LeCaR,0.60715,0.3290666666666667
Cacheus,CACHEUS,0.6039,0.3178666666666667
GLCache,GL-Cache,0.23363333333333336,0.4862499999999999
LRB-BMR,LRB,0.6154333333333334,0.25866666666666666
ThreeLCache-target,3L-Cache,0.31586666666666663,0.2557833333333333
best_LOH,RSM,0.0015666666666666667,0.01945
