algo,algo_display,mr_value,bmr_value
LRU,LRU,0.7294666666666667,0.34146666666666664
LHD,LHD,0.17384999999999998,0.6088833333333333
ARC,ARC,0.5457333333333333,0.20645
Sieve,SIEVE,0.5367166666666666,0.16088333333333335
S3FIFO-0.1000-2,S3-FIFO,0.42891666666666667,0.10271666666666668
WTinyLFU-w0.01-SLRU,W-TinyLFU,0.6903166666666666,0.6316833333333334
LeCaR,LeCaR,0.5811333333333334,0.21914999999999998
Cacheus,CACHEUS,0.5278666666666667,0.17643333333333333
GLCache,GL-Cache,0.5943833333333334,0.65995
LRB-BMR,LRB,0.47659999999999997,0.11681666666666668
ThreeLCache-target,3L-Cache,0.19201666666666664,0.06505000000000001
best_LOH,RSM,0.03771666666666667,0.022583333333333334
