# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.1 0.1489 0.2497 3.42
LRU 0.01 0.3376 0.4496 3.08
ARC 0.01 0.3231 0.4447 2.85
ARC 0.1 0.1505 0.2522 2.91
SIEVE 0.01 0.3466 0.4872 3.23
LHD 0.1 0.1090 0.2580 1.16
SIEVE 0.1 0.1603 0.2501 3.03
LHD 0.01 0.2681 0.4832 0.84
lecar 0.1 0.1430 0.2419 1.96
wtinylfu 0.1 0.1430 0.2481 1.79
lecar 0.01 0.3342 0.4442 1.80
S3FIFO 0.1 0.1380 0.2367 1.47
GDSF 0.01 0.2568 0.4500 0.63
S3FIFO 0.01 0.3280 0.4365 1.16
glcache 0.1 0.1052 0.2131 1.92
glcache 0.01 0.2885 0.4837 1.48
GDSF 0.1 0.1016 0.1974 0.45
cacheus 0.1 0.1398 0.2375 0.69
cacheus 0.01 0.3230 0.4374 0.56
wtinylfu 0.01 0.3224 0.4639 0.61
3lcache 0.1 0.1448 0.2450 0.45
3lcache 0.01 0.3209 0.4428 0.33
lrb 0.1 0.1609 0.2662 0.02
lrb 0.01 0.3040 0.4466 0.01
