# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 1066.745678785 85.13 104.00 46228.28
LRU 0.1 1373.691391561 85.81 103.00 60375.84
SIEVE 0.01 1011.667842687 85.76 92.50 44491.38
ARC 0.01 1342.237501248 86.11 89.80 59419.08
ARC 0.1 1531.496284822 86.39 91.00 67711.30
SIEVE 0.1 1128.781331108 86.02 108.00 49771.86
S3FIFO 0.01 1522.715911129 86.63 149.00 67001.46
S3FIFO 0.1 1522.112315265 86.58 152.00 67169.24
LHD 0.1 2864.683666363 86.63 138.00 126467.90
LHD 0.01 3322.361471669 86.34 155.00 146084.34
wtinylfu 0.1 2851.955559460 85.53 116.00 119675.64
wtinylfu 0.01 3015.380071056 86.84 97.00 128963.68
glcache 0.01 1476.424590391 83.66 85.90 58711.70
glcache 0.1 1771.064548842 81.81 104.00 69714.32
cacheus 0.01 3538.761527955 85.20 150.00 148667.68
cacheus 0.1 3699.411852669 85.05 108.00 154959.08
3lcache 0.1 4512.763962159 86.02 105.00 195279.92
3lcache 0.01 4567.052758287 85.81 86.20 197185.68
GDSF 0.01 9016.835377560 85.87 143.00 387663.40
GDSF 0.1 71607.976656588 77.46 95.50 433061.98
lrb 0.1 186584.801212309 36.17 116.00 480485.86
