# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 312435 357888
LRU 0.1 824139 967296
SIEVE 0.01 314464 355584
ARC 0.01 592436 781440
ARC 0.1 1449029 1827264
SIEVE 0.1 797864 967872
S3FIFO 0.01 723220 812736
S3FIFO 0.1 1624473 1964736
LHD 0.1 2168143 2379300
LHD 0.01 1022317 1151424
wtinylfu 0.1 9159004 10103696
wtinylfu 0.01 8423116 9032576
glcache 0.01 707650 838656
glcache 0.1 1884768 3211968
cacheus 0.01 3339671 6300760
cacheus 0.1 5183620 8295596
3lcache 0.1 1936255 2384304
3lcache 0.01 648168 682940
GDSF 0.01 1096864 1135488
GDSF 0.1 6079823 8297664
lrb 0.1 2463899 2548156
