# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.1041 0.1478 1.99
LRU 0.1 0.0515 0.0801 1.44
SIEVE 0.01 0.0988 0.1440 2.04
ARC 0.01 0.0984 0.1528 1.45
ARC 0.1 0.0504 0.0909 1.25
SIEVE 0.1 0.0482 0.0755 1.79
S3FIFO 0.01 0.0959 0.1412 1.25
S3FIFO 0.1 0.0452 0.0722 1.26
LHD 0.1 0.0457 0.0861 0.62
LHD 0.01 0.0732 0.2064 0.53
wtinylfu 0.1 0.0448 0.0768 0.64
wtinylfu 0.01 0.0937 0.1615 0.59
glcache 0.01 0.0742 0.1999 1.32
glcache 0.1 0.0369 0.0861 1.07
cacheus 0.01 0.0996 0.1423 0.50
cacheus 0.1 0.0490 0.0769 0.47
3lcache 0.1 0.0463 0.0727 0.38
3lcache 0.01 0.0932 0.1375 0.38
GDSF 0.01 0.0619 0.2551 0.19
GDSF 0.1 0.0325 0.1045 0.02
lrb 0.1 0.0515 0.0801 0.01
