# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 989.107157865 84.47 102.00 42150.68
LRU 0.1 1231.457421491 86.02 136.00 53196.74
LHD 0.01 2746.099628667 86.04 140.00 118849.38
LHD 0.1 2522.372874371 86.00 87.00 109113.96
ARC 0.01 1180.771421472 84.20 85.40 49796.44
ARC 0.1 1363.154304725 85.74 99.50 58731.02
SIEVE 0.01 927.418513019 83.53 120.00 39074.40
SIEVE 0.1 1032.554108578 85.19 86.10 44128.00
wtinylfu 0.01 42219.959388446 58.00 115.00 8224.04
wtinylfu 0.1 60916.237640955 29.24 89.60 6485.08
S3FIFO 0.01 61887.101885019 57.26 94.50 40965.76
S3FIFO 0.1 61878.819717803 24.61 87.10 17456.14
cacheus 0.01 3230.921158472 83.17 84.20 134745.82
cacheus 0.1 3207.783914010 84.10 89.50 134960.76
glcache 0.01 1538.726382978 83.28 88.00 64108.10
glcache 0.1 1556.319436595 83.18 110.00 65093.00
GDSF 0.01 70342.110115772 37.25 87.10 184820.58
GDSF 0.1 70731.833386609 33.49 86.10 172785.04
3lcache 0.1 4268.464972068 84.65 89.50 181375.58
3lcache 0.01 4594.017168533 84.39 85.10 194991.00
