# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 343437 397440
LRU 0.1 952806 1135872
LHD 0.01 1610665 1761488
LHD 0.1 2186048 2402948
ARC 0.01 506560 615936
ARC 0.1 1426434 1801920
SIEVE 0.01 340315 395904
SIEVE 0.1 970961 1227072
wtinylfu 0.01 2847157 9038356
wtinylfu 0.1 4529318 9754768
S3FIFO 0.01 774674 889344
S3FIFO 0.1 1739034 2178240
cacheus 0.01 2729539 4049056
cacheus 0.1 4585862 6185136
glcache 0.01 1452983 1991668
glcache 0.1 1793682 3051192
GDSF 0.01 4273564 5376384
GDSF 0.1 6339258 10123200
3lcache 0.1 2144116 2755880
3lcache 0.01 856959 934208
