# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.0943 0.1718 1.88
LRU 0.1 0.0512 0.1192 1.42
LHD 0.01 0.0582 0.1959 0.58
LHD 0.1 0.0460 0.1241 0.64
ARC 0.01 0.0870 0.1811 1.51
ARC 0.1 0.0458 0.1269 1.28
SIEVE 0.01 0.0873 0.1661 2.03
SIEVE 0.1 0.0456 0.1125 1.74
wtinylfu 0.01 N/A N/A N/A
wtinylfu 0.1 N/A N/A N/A
S3FIFO 0.01 0.0842 0.1632 0.02
S3FIFO 0.1 0.0431 0.1099 0.02
cacheus 0.01 0.0881 0.1643 0.49
cacheus 0.1 0.0471 0.1143 0.50
glcache 0.01 0.0508 0.1888 1.11
glcache 0.1 0.0387 0.1253 1.09
GDSF 0.01 0.0381 0.2562 0.02
GDSF 0.1 0.0325 0.1161 0.02
3lcache 0.1 0.0448 0.1106 0.37
3lcache 0.01 0.0810 0.1590 0.34
