# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 41.242788393 83.74 88.10 1758.46
LRU 0.1 43.685312813 85.03 104.00 1887.68
LHD 0.1 87.440303262 85.48 111.00 3846.76
LHD 0.01 115.804354330 86.21 120.00 5137.94
ARC 0.01 31.989757869 88.12 143.00 1427.54
ARC 0.1 37.746567164 87.38 126.00 1695.08
SIEVE 0.01 29.208233715 86.46 111.00 1331.42
SIEVE 0.1 32.521593316 88.75 142.00 1526.56
S3FIFO 0.01 49.987029493 89.81 148.00 2335.12
S3FIFO 0.1 51.839707921 86.62 144.00 2303.98
wtinylfu 0.01 46.741528518 86.02 103.00 2115.98
GDSF 0.01 261.800306395 85.02 92.50 11358.42
GDSF 0.1 247.640575030 85.86 117.00 10836.00
wtinylfu 0.1 138.531913328 88.07 134.00 6217.88
cacheus 0.01 116.814438451 85.85 97.00 5134.06
cacheus 0.1 119.237958647 87.02 142.00 5221.38
glcache 0.01 54.991596942 82.93 87.50 2305.58
glcache 0.1 49.325986475 91.01 164.00 2257.02
3lcache 0.01 215.464620161 86.27 142.00 9126.88
3lcache 0.1 244.289167311 84.87 113.00 10286.84
lecar 0.1 585.453028299 85.84 92.00 25201.18
lecar 0.01 642.042563971 85.23 87.70 27528.42
lrb 0.1 5065.690855619 86.24 135.00 223057.06
lrb 0.01 6049.261308566 85.95 91.00 265272.52
