# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 335135 387264
LRU 0.1 324605 385920
LHD 0.1 1177500 2138688
LHD 0.01 484631 537600
ARC 0.01 335820 385152
ARC 0.1 376429 461568
SIEVE 0.01 328746 385728
SIEVE 0.1 323417 387840
S3FIFO 0.01 492885 575808
S3FIFO 0.1 611335 754560
wtinylfu 0.01 418057 487104
GDSF 0.01 1522267 2431488
GDSF 0.1 1687820 2929344
wtinylfu 0.1 7429384 9311872
cacheus 0.01 1038246 1443656
cacheus 0.1 1369974 1831296
glcache 0.01 414832 590400
glcache 0.1 516514 911040
3lcache 0.01 379646 389568
3lcache 0.1 571725 730912
lecar 0.1 1423113 1541712
lecar 0.01 1329649 1454712
lrb 0.1 1800930 2860120
lrb 0.01 1696524 2765228
