# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.3834 0.2093 1.83
LRU 0.1 0.3268 0.1753 1.68
LHD 0.1 0.2752 0.1628 0.68
LHD 0.01 0.3308 0.1993 0.46
ARC 0.01 0.4037 0.2119 2.21
ARC 0.1 0.3500 0.1791 2.01
SIEVE 0.01 0.3883 0.2094 2.72
SIEVE 0.1 0.3331 0.1768 2.47
S3FIFO 0.01 0.3827 0.2032 1.24
S3FIFO 0.1 0.3264 0.1707 1.23
wtinylfu 0.01 0.3490 0.2013 1.33
GDSF 0.01 0.2706 0.1765 0.20
GDSF 0.1 0.2689 0.1530 0.21
wtinylfu 0.1 0.2943 0.1615 0.46
cacheus 0.01 0.3851 0.2089 0.45
cacheus 0.1 0.3280 0.1749 0.44
glcache 0.01 0.3128 0.1921 1.17
glcache 0.1 0.2850 0.1638 1.28
3lcache 0.01 0.3850 0.2024 0.23
3lcache 0.1 0.3249 0.1703 0.20
lecar 0.1 0.3268 0.1753 0.08
lecar 0.01 0.3835 0.2093 0.07
lrb 0.1 0.3275 0.1733 0.01
lrb 0.01 0.3773 0.2013 0.01
