# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 138.789854726 83.05 86.10 5796.88
LRU 0.1 152.711045555 86.14 123.00 6650.10
ARC 0.01 152.091948030 86.90 148.00 6848.02
LHD 0.1 320.705401235 85.99 121.00 14068.44
SIEVE 0.01 123.575992528 83.73 88.50 5208.20
ARC 0.1 179.166914552 85.34 100.00 7816.88
SIEVE 0.1 123.452773416 84.94 115.00 5334.16
LHD 0.01 463.032587543 85.70 87.00 20242.32
S3FIFO 0.01 223.559538692 85.55 120.00 9872.34
wtinylfu 0.01 217.558428904 85.00 86.50 9536.64
S3FIFO 0.1 226.799582476 87.55 144.00 10173.62
lecar 0.01 188.242834200 87.26 145.00 8481.80
lecar 0.1 194.474732093 85.62 87.70 8562.06
wtinylfu 0.1 403.255094925 86.08 118.00 17939.36
cacheus 0.01 324.756044508 87.26 117.00 14625.38
glcache 0.01 178.945130939 84.92 98.00 7727.94
glcache 0.1 178.092556706 84.51 89.50 7639.52
cacheus 0.1 446.664940874 86.08 112.00 19781.26
GDSF 0.01 1174.674599418 85.85 118.00 51478.60
GDSF 0.1 1232.660430318 85.91 105.00 54138.62
3lcache 0.01 663.823500237 86.38 124.00 29336.26
3lcache 0.1 772.156304920 86.06 98.50 33943.58
lrb 0.1 75829.191587643 67.55 131.00 521984.48
lrb 0.01 82419.442548129 53.71 131.00 595483.54
