# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 1065483 1435576
LRU 0.1 1131898 1435820
ARC 0.01 1125659 1433852
LHD 0.1 3459559 5909060
SIEVE 0.01 1098947 1435568
ARC 0.1 1350119 1829712
SIEVE 0.1 1127000 1437432
LHD 0.01 1895905 3077068
S3FIFO 0.01 1242781 1435664
wtinylfu 0.01 1235333 1434832
S3FIFO 0.1 1256428 1461972
lecar 0.01 1634377 2725580
lecar 0.1 1681894 2890896
wtinylfu 0.1 8500648 10531288
cacheus 0.01 1309640 1435960
glcache 0.01 1213991 1533452
glcache 0.1 1512383 2558928
cacheus 0.1 2074974 2353744
GDSF 0.01 4649534 7694672
GDSF 0.1 4706987 7838804
3lcache 0.01 1376287 1441216
3lcache 0.1 1655092 2056356
lrb 0.1 4363607 5577364
lrb 0.01 3980210 5196588
