# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.5934 0.2678 1.29
LRU 0.1 0.4856 0.2254 1.03
ARC 0.01 0.6352 0.2774 1.03
LHD 0.1 0.3694 0.1865 0.43
SIEVE 0.01 0.6061 0.2691 1.38
ARC 0.1 0.5282 0.2332 0.81
SIEVE 0.1 0.5033 0.2293 1.36
LHD 0.01 0.4464 0.2401 0.25
S3FIFO 0.01 0.5982 0.2648 0.57
wtinylfu 0.01 0.5075 0.2418 0.59
S3FIFO 0.1 0.4922 0.2222 0.57
lecar 0.01 0.5935 0.2678 0.80
lecar 0.1 0.4856 0.2254 0.79
wtinylfu 0.1 0.3996 0.1897 0.30
cacheus 0.01 0.5997 0.2685 0.35
glcache 0.01 0.4611 0.2387 0.75
glcache 0.1 0.3939 0.1970 0.77
cacheus 0.1 0.4925 0.2268 0.25
GDSF 0.01 0.3639 0.1848 0.09
GDSF 0.1 0.3628 0.1759 0.09
3lcache 0.01 0.5962 0.2644 0.16
3lcache 0.1 0.4806 0.2171 0.14
lrb 0.1 0.4662 0.2141 0.00
lrb 0.01 0.5795 0.2654 0.00
