# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 105.250220100 85.54 98.00 4601.96
LRU 0.1 126.618927438 84.56 102.00 5462.44
LHD 0.1 278.571169096 86.22 113.00 12278.24
ARC 0.01 122.971731190 83.70 86.50 5290.02
LHD 0.01 374.719205217 86.33 122.00 16609.52
ARC 0.1 142.536228840 84.72 114.00 6218.20
SIEVE 0.01 103.577626759 87.69 133.00 4629.86
SIEVE 0.1 112.115982756 86.09 131.00 4993.32
S3FIFO 0.01 189.044122938 84.61 86.80 8106.08
S3FIFO 0.1 185.633246469 84.20 122.00 7964.90
wtinylfu 0.01 185.513607727 85.72 87.50 8108.64
lecar 0.01 172.835334864 86.86 139.00 7626.24
wtinylfu 0.1 187.257009231 85.08 86.70 8099.62
glcache 0.01 157.232439346 88.12 154.00 7119.70
glcache 0.1 159.996967395 84.17 94.50 6884.96
cacheus 0.01 348.455076100 86.26 138.00 15180.96
cacheus 0.1 401.815793843 86.11 108.00 17462.64
GDSF 0.01 954.581839465 85.56 110.00 41651.06
GDSF 0.1 966.596706419 86.18 93.50 42468.78
lecar 0.1 703.822491170 86.12 155.00 30882.28
3lcache 0.01 590.489396481 86.02 90.30 25806.26
3lcache 0.1 630.585477682 85.48 86.30 27370.88
lrb 0.1 73043.735278082 73.38 121.00 464186.18
lrb 0.01 77436.834667387 59.19 116.00 504367.12
