# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 581784 649536
LRU 0.1 592381 651072
LHD 0.1 2985605 5305728
ARC 0.01 586855 648000
LHD 0.01 1360540 2297088
ARC 0.1 874712 1117632
SIEVE 0.01 584701 646848
SIEVE 0.1 586841 650880
S3FIFO 0.01 610832 649344
S3FIFO 0.1 992386 1204992
wtinylfu 0.01 664626 741120
lecar 0.01 1396887 2669760
wtinylfu 0.1 1151228 1875456
glcache 0.01 912374 1375900
glcache 0.1 1034311 1809024
cacheus 0.01 1111967 1561284
cacheus 0.1 2057262 2684444
GDSF 0.01 3793139 6257664
GDSF 0.1 3912058 6473856
lecar 0.1 2518259 2850624
3lcache 0.01 639606 652912
3lcache 0.1 1424780 1990832
lrb 0.1 3692622 5310184
lrb 0.01 3192632 4662496
