# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.5234 0.2721 1.47
LRU 0.1 0.4340 0.2405 1.10
LHD 0.1 0.3372 0.2145 0.43
ARC 0.01 0.5522 0.2769 1.17
LHD 0.01 0.4174 0.2516 0.28
ARC 0.1 0.4600 0.2432 0.94
SIEVE 0.01 0.5301 0.2724 1.45
SIEVE 0.1 0.4447 0.2419 1.30
S3FIFO 0.01 0.5172 0.2672 0.61
S3FIFO 0.1 0.4273 0.2334 0.64
wtinylfu 0.01 0.4363 0.2505 0.64
lecar 0.01 0.5234 0.2721 0.77
wtinylfu 0.1 0.3627 0.2183 0.67
glcache 0.01 0.3942 0.2424 0.77
glcache 0.1 0.3645 0.2225 0.78
cacheus 0.01 0.5259 0.2721 0.29
cacheus 0.1 0.4363 0.2405 0.25
GDSF 0.01 0.3293 0.2152 0.10
GDSF 0.1 0.3284 0.2049 0.10
lecar 0.1 0.4340 0.2405 0.14
3lcache 0.01 0.5157 0.2665 0.16
3lcache 0.1 0.4231 0.2317 0.15
lrb 0.1 0.4145 0.2315 0.00
lrb 0.01 0.5060 0.2677 0.00
