# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
SIEVE 0.01 165.693882958 97.87 103.00 10198.26
SIEVE 0.1 187.756628440 97.89 103.00 11610.20
LRU 0.01 199.616117563 97.26 98.90 12255.26
LRU 0.1 208.368492397 99.71 182.00 13141.26
ARC 0.1 222.567007005 98.21 131.00 13769.50
lecar 0.1 250.371067445 98.43 112.00 15531.82
ARC 0.01 265.809598991 98.64 129.00 16611.42
lecar 0.01 266.872154708 98.52 137.00 16610.20
S3FIFO 0.1 303.694353143 99.34 166.00 19034.16
S3FIFO 0.01 352.174911537 99.60 169.00 22230.54
glcache 0.1 263.271554853 99.41 173.00 16899.72
glcache 0.01 337.520716061 98.08 99.10 21283.88
cacheus 0.1 613.737182207 99.32 169.00 38991.38
wtinylfu 0.1 639.462717704 98.90 134.00 40511.18
LHD 0.1 660.377156660 99.11 156.00 42000.84
wtinylfu 0.01 663.293302565 99.01 167.00 42119.34
GDSF 0.01 750.313393483 98.94 158.00 47550.18
cacheus 0.01 751.437651872 98.42 106.00 47380.58
LHD 0.01 966.581622928 99.15 158.00 62065.52
3lcache 0.1 905.744843321 98.95 103.00 59189.96
GDSF 0.1 1213.316330086 99.03 129.00 78944.28
3lcache 0.01 1339.560802116 99.28 146.00 87523.88
