# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.1 260990 302976
LRU 0.01 248240 283392
LHD 0.01 322056 351360
LHD 0.1 369452 420096
ARC 0.01 257472 292608
ARC 0.1 278619 339840
GDSF 0.01 274594 289344
GDSF 0.1 326123 350208
SIEVE 0.01 252561 283584
SIEVE 0.1 269091 304512
S3FIFO 0.01 546181 680448
S3FIFO 0.1 570746 716544
lecar 0.01 291098 357312
lecar 0.1 315156 391488
wtinylfu 0.01 6806933 8941632
wtinylfu 0.1 7024834 8959104
cacheus 0.01 793203 916224
cacheus 0.1 878418 988992
glcache 0.01 258526 293376
glcache 0.1 299294 341568
3lcache 0.01 296057 310464
3lcache 0.1 350523 368448
