# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 212855 279680
LRU 0.1 228750 287744
LHD 0.01 282087 347008
LHD 0.1 312267 370048
GDSF 0.01 256466 284672
GDSF 0.1 309692 340352
ARC 0.01 231337 283776
ARC 0.1 244692 315008
SIEVE 0.01 221740 280832
SIEVE 0.1 232206 290816
S3FIFO 0.01 518972 674560
S3FIFO 0.1 536558 695808
wtinylfu 0.01 6245991 7784064
wtinylfu 0.1 7035670 8947584
lecar 0.01 240026 291840
lecar 0.1 253959 308096
cacheus 0.01 787453 912768
cacheus 0.1 807552 949376
glcache 0.01 241526 290176
glcache 0.1 260184 320384
3lcache 0.01 282165 311936
3lcache 0.1 304890 340096
