# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.3376 0.4496 3.99
LRU 0.1 0.1489 0.2497 4.01
LHD 0.01 0.2679 0.4831 1.31
LHD 0.1 0.1089 0.2575 1.56
GDSF 0.01 0.2568 0.4500 1.01
GDSF 0.1 0.1016 0.1974 0.68
ARC 0.01 0.3231 0.4447 3.86
ARC 0.1 0.1505 0.2522 4.04
SIEVE 0.01 0.3466 0.4872 4.64
SIEVE 0.1 0.1603 0.2501 4.19
S3FIFO 0.01 0.3280 0.4365 1.95
S3FIFO 0.1 0.1380 0.2367 2.41
wtinylfu 0.01 0.3224 0.4639 0.87
wtinylfu 0.1 0.1430 0.2481 2.62
lecar 0.01 0.3341 0.4440 2.72
lecar 0.1 0.1425 0.2417 2.76
cacheus 0.01 0.3230 0.4372 0.87
cacheus 0.1 0.1398 0.2374 1.00
glcache 0.01 0.2885 0.4837 2.42
glcache 0.1 0.1052 0.2131 2.93
3lcache 0.01 0.3209 0.4428 0.61
3lcache 0.1 0.1448 0.2450 0.75
