# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 13.138582021 95.31 133.00 934.08
LRU 0.1 13.608190574 104.38 184.00 1064.66
LHD 0.01 33.332674897 102.32 184.00 2537.60
LHD 0.1 44.909599443 97.30 126.00 3230.28
GDSF 0.01 31.131915212 103.48 188.00 2380.00
GDSF 0.1 37.401336118 97.86 134.00 2701.04
ARC 0.01 14.315700714 97.36 134.00 1032.06
ARC 0.1 14.312763791 104.09 188.00 1103.36
SIEVE 0.01 12.948826976 93.97 131.00 902.12
SIEVE 0.1 14.065224248 104.04 189.00 1082.02
S3FIFO 0.01 24.708664688 96.91 132.00 1763.74
S3FIFO 0.1 26.617577265 97.73 131.00 1915.46
wtinylfu 0.01 53.495829162 98.57 135.00 3863.92
wtinylfu 0.1 20.881997644 99.93 162.00 1558.98
lecar 0.01 16.943723656 97.02 132.00 1222.42
lecar 0.1 17.500995255 90.80 100.00 1180.46
cacheus 0.01 41.716168407 96.82 106.00 3001.52
cacheus 0.1 40.794972057 95.61 105.00 2887.54
glcache 0.01 18.980445047 102.50 185.00 1455.56
glcache 0.1 18.315988695 97.61 133.00 1327.54
3lcache 0.01 59.811663293 100.20 161.00 4428.80
3lcache 0.1 66.649208248 100.19 164.00 4929.34
