# Algorithm Parameter ElapsedTime(s) AvgCPU_Monitor(%) MaxCPU_Monitor(%) CumulativeCPU_Monitor(%*s)
LRU 0.01 27.240278747 93.86 147.00 1389.20
SIEVE 0.01 28.515126602 91.97 136.00 1453.06
LRU 0.1 29.444767416 92.38 151.00 1515.10
SIEVE 0.1 29.769414500 89.72 148.00 1453.46
ARC 0.01 29.956663548 93.04 145.00 1525.78
ARC 0.1 31.665979095 92.91 138.00 1616.60
glcache 0.1 35.142802059 95.56 156.00 1872.88
glcache 0.01 36.498336558 93.95 147.00 1972.92
wtinylfu 0.01 40.479084533 93.91 153.00 2216.26
S3FIFO 0.01 41.968285217 92.58 136.00 2240.52
S3FIFO 0.1 42.199551829 93.51 141.00 2300.36
LHD 0.1 61.804805634 93.60 156.00 3631.86
LHD 0.01 71.391588461 94.39 136.00 4266.38
cacheus 0.01 72.443440442 93.22 139.00 4288.00
cacheus 0.1 76.509390501 95.14 140.00 4680.78
wtinylfu 0.1 79.840308512 94.67 140.00 4847.34
3lcache 0.01 105.984866816 98.16 111.00 7322.48
3lcache 0.1 114.472059028 101.39 198.00 8192.48
GDSF 0.01 151.701894791 97.20 144.00 9933.46
GDSF 0.1 158.127729658 96.14 141.00 10228.84
lecar 0.01 372.229393133 98.09 148.00 25326.28
lecar 0.1 394.822972830 98.01 133.00 26796.84
