# Algorithm Parameter AvgMemory_Monitor(KB) PeakMemory_Monitor(KB)
LRU 0.01 321172 385344
SIEVE 0.01 321775 383424
LRU 0.1 325831 384000
SIEVE 0.1 320450 384384
ARC 0.01 325150 383808
ARC 0.1 370099 459456
glcache 0.1 520757 915648
glcache 0.01 410747 590016
wtinylfu 0.01 422359 486144
S3FIFO 0.01 485376 573120
S3FIFO 0.1 605108 755136
LHD 0.1 1183762 2137920
LHD 0.01 479359 537792
cacheus 0.01 1005869 1440384
cacheus 0.1 1331392 1830336
wtinylfu 0.1 7455585 9311572
3lcache 0.01 379217 390592
3lcache 0.1 565137 733368
GDSF 0.01 1527537 2432640
GDSF 0.1 1669523 2928960
lecar 0.01 1319068 1451552
lecar 0.1 1435554 1527844
