# Algorithm Parameter MissRatio ByteMissRatio Throughput(MQPS)
LRU 0.01 0.3834 0.2093 2.99
SIEVE 0.01 0.3883 0.2094 2.81
LRU 0.1 0.3268 0.1753 2.74
SIEVE 0.1 0.3331 0.1768 2.67
ARC 0.01 0.4037 0.2119 2.57
ARC 0.1 0.3500 0.1791 2.35
glcache 0.1 0.2850 0.1638 1.94
glcache 0.01 0.3128 0.1921 1.81
wtinylfu 0.01 0.3490 0.2013 1.57
S3FIFO 0.01 0.3827 0.2032 1.51
S3FIFO 0.1 0.3264 0.1707 1.59
LHD 0.1 0.2753 0.1630 1.03
LHD 0.01 0.3298 0.1987 0.77
cacheus 0.01 0.3850 0.2089 0.77
cacheus 0.1 0.3280 0.1749 0.73
wtinylfu 0.1 0.2943 0.1615 0.80
3lcache 0.01 0.3850 0.2024 0.47
3lcache 0.1 0.3249 0.1703 0.44
GDSF 0.01 0.2706 0.1765 0.34
GDSF 0.1 0.2689 0.1530 0.33
lecar 0.01 0.3835 0.2093 0.13
lecar 0.1 0.3268 0.1753 0.12
