idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,101,1063_cachefeat_r1_20251231_112906_001_r01,0,0.379517,0.356160,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=120 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,1,201,1063_cachefeat_r1_20251231_112906_002_r01,0,0.378243,0.353989,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=120 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=0.5"
3,1,301,1063_cachefeat_r1_20251231_112906_003_r01,0,0.379112,0.357074,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=2.0 RL_UPDATE_INTERVAL=120 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=2.0"
4,1,401,1063_cachefeat_r1_20251231_112906_004_r01,0,0.379900,0.358781,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=0 LOH_ENABLE_FEATURE_NORMALIZATION=0 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=120 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,1,501,1063_cachefeat_r1_20251231_112906_005_r01,0,0.467225,0.466793,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
6,1,601,1063_cachefeat_r1_20251231_112906_006_r01,0,0.468727,0.470622,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=2.0 LOH_ACTION_SCALE=0.8 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
7,1,701,1063_cachefeat_r1_20251231_112906_007_r01,0,0.464236,0.462754,0.02,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
8,1,801,1063_cachefeat_r1_20251231_112906_008_r01,0,0.444361,0.418517,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=TD3 LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 TD3_BUFFER_SIZE=100000 TD3_BATCH_SIZE=256 TD3_LEARNING_RATE=3e-4 TD3_TRAIN_FREQ=8 TD3_GRADIENT_STEPS=2 TD3_LEARNING_STARTS=1000"
9,1,901,1063_cachefeat_r1_20251231_112906_009_r01,0,0.459618,0.454761,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=PPO LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 PPO_N_STEPS=1024 PPO_BATCH_SIZE=256 PPO_GAMMA=0.99 PPO_ENT_COEF=0.02 PPO_LEARNING_RATE=3e-4"
10,1,1001,1063_cachefeat_r1_20251231_112906_010_r01,0,0.375308,0.354051,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=0 LOH_INCLUDE_CACHE_FEATURES=1 LOH_FEATURE_LOG1P=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=0 LOH_ACTION_SCALE=1.5 RL_UPDATE_INTERVAL=120 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.5"
