idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,101,1063_featnorm_r1_20251229_140452_001_r01,0,0.633820,0.637001,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=0 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=0 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
2,1,201,1063_featnorm_r1_20251229_140452_002_r01,0,0.485848,0.505248,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=0 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
3,1,301,1063_featnorm_r1_20251229_140452_003_r01,0,0.652433,0.679598,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=0 LOH_FEATURE_LOG1P_RECIPROCAL=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
4,1,401,1063_featnorm_r1_20251229_140452_004_r01,0,0.467842,0.465997,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
5,1,501,1063_featnorm_r1_20251229_140452_005_r01,0,0.450303,0.439789,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_FEATURE_NORM_MAX_RECENCY=3.2e7 LOH_FEATURE_NORM_MAX_FREQ=2e5 LOH_FEATURE_NORM_MAX_SIZE=4e9 LOH_FEATURE_NORM_MAX_IRT=3.2e7 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
6,1,601,1063_featnorm_r1_20251229_140452_006_r01,0,0.469176,0.469824,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_FEATURE_NORM_MAX_RECENCY=2.56e8 LOH_FEATURE_NORM_MAX_FREQ=2e6 LOH_FEATURE_NORM_MAX_SIZE=3.2e10 LOH_FEATURE_NORM_MAX_IRT=2.56e8 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
7,1,701,1063_featnorm_r1_20251229_140452_007_r01,0,0.652720,0.679179,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=0 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
8,1,801,1063_featnorm_r1_20251229_140452_008_r01,0,0.491394,0.526752,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
9,1,901,1063_featnorm_r1_20251229_140452_009_r01,0,0.472854,0.473656,0.01,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.2 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01"
10,1,1001,1063_featnorm_r1_20251229_140452_010_r01,0,0.469095,0.473159,0.00,"data/TencentCBS/1063.oracleGeneral.zst",0.1,"LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
