idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,1,0.633820,0.000000,0.637001,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=0 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=0 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
2,1,0.485848,0.000000,0.505248,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=0 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
3,1,0.652433,0.000000,0.679598,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=0 LOH_FEATURE_LOG1P_RECIPROCAL=1 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
4,1,0.467842,0.000000,0.465997,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
5,1,0.450303,0.000000,0.439789,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_FEATURE_NORM_MAX_RECENCY=3.2e7 LOH_FEATURE_NORM_MAX_FREQ=2e5 LOH_FEATURE_NORM_MAX_SIZE=4e9 LOH_FEATURE_NORM_MAX_IRT=3.2e7 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
6,1,0.469176,0.000000,0.469824,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_FEATURE_NORM_MAX_RECENCY=2.56e8 LOH_FEATURE_NORM_MAX_FREQ=2e6 LOH_FEATURE_NORM_MAX_SIZE=3.2e10 LOH_FEATURE_NORM_MAX_IRT=2.56e8 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
7,1,0.652720,0.000000,0.679179,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=0 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
8,1,0.491394,0.000000,0.526752,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
9,1,0.472854,0.000000,0.473656,0.000000,0.010000,0.000000,LOH_RL_ALGO=A2C LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.2 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 A2C_N_STEPS=256 A2C_LEARNING_RATE=3e-4 A2C_ENT_COEF=0.01
10,1,0.469095,0.000000,0.473159,0.000000,0.000000,0.000000,LOH_RL_ALGO=SAC LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
