idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,1,0.373094,0.000000,0.329602,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=2.0 LOH_ACTION_SCALE=0.8 RL_UPDATE_INTERVAL=120 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
2,1,0.372945,0.000000,0.329710,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.8 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=2.0
3,1,0.372924,0.000000,0.329326,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.8 LOH_ACTION_SCALE=0.6 RL_UPDATE_INTERVAL=50 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
4,1,0.373275,0.000000,0.329544,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_REWARD_MODE=delta LOH_MISS_RATIO_WEIGHT=0.7
5,1,0.373267,0.000000,0.329685,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_ENABLE_PENALTY=1 LOH_PENALTY_SCALE=log LOH_REWARD_USE_PENALTY=1 LOH_REWARD_USE_MISSRATIO=1 LOH_REWARD_W_PENALTY=1.0 LOH_REWARD_W_MISS=0.3
6,1,0.372456,0.000000,0.329438,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.6 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.98 LOH_WEIGHT_CLIP=1.0
7,1,0.388751,0.000000,0.378225,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.8 LOH_ACTION_SCALE=0.8 RL_UPDATE_INTERVAL=100 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 TD3_BUFFER_SIZE=100000 TD3_BATCH_SIZE=256 TD3_LEARNING_RATE=1e-3 TD3_TRAIN_FREQ=4 TD3_GRADIENT_STEPS=2 TD3_LEARNING_STARTS=500
8,1,0.381599,0.000000,0.339771,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.7 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 TD3_BUFFER_SIZE=100000 TD3_BATCH_SIZE=256 TD3_LEARNING_RATE=3e-4 TD3_TRAIN_FREQ=8 TD3_GRADIENT_STEPS=2 TD3_LEARNING_STARTS=1000
9,1,0.372892,0.000000,0.329302,0.000000,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=PPO LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.8 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 PPO_N_STEPS=2048 PPO_BATCH_SIZE=256 PPO_GAMMA=0.99 PPO_ENT_COEF=0.05 PPO_LEARNING_RATE=3e-4
10,1,0.376151,0.000000,0.331411,0.000000,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=PPO LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.8 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 PPO_N_STEPS=1024 PPO_BATCH_SIZE=256 PPO_GAMMA=0.99 PPO_ENT_COEF=0.01 PPO_LEARNING_RATE=3e-4
