scale,formula,pos,miss_ratio,byte_miss_ratio,mqps
reciprocal,relative,0,0.288535,0.330908,0.08
reciprocal,relative,1,0.284902,0.332842,0.08
reciprocal,centered,0,0.285880,0.330221,0.07
reciprocal,centered,1,0.284560,0.326029,0.08
reciprocal,one_minus,0,0.286669,0.332317,0.08
reciprocal,one_minus,1,0.286516,0.333293,0.08
reciprocal,neg,0,0.285786,0.329565,0.08
reciprocal,neg,1,0.286291,0.331974,0.08
reciprocal,net,0,0.285134,0.329007,0.08
reciprocal,net,1,0.286894,0.332060,0.08
reciprocal,net2,0,0.286115,0.329557,0.08
reciprocal,net2,1,0.281763,0.327512,0.08
log,relative,0,0.285902,0.330506,0.09
log,relative,1,0.284992,0.329359,0.08
log,centered,0,0.285637,0.329575,0.08
log,centered,1,0.284649,0.327932,0.08
log,one_minus,0,0.286243,0.329711,0.08
log,one_minus,1,0.285438,0.330371,0.08
log,neg,0,0.285091,0.329447,0.08
log,neg,1,0.285234,0.327319,0.09
log,net,0,0.286281,0.330247,0.08
log,net,1,0.286271,0.332410,0.08
log,net2,0,0.283364,0.328839,0.08
log,net2,1,0.287694,0.335250,0.09
survival,relative,0,0.284803,0.329824,0.08
survival,relative,1,0.284978,0.331517,0.09
survival,centered,0,0.285666,0.330345,0.08
survival,centered,1,0.285487,0.331934,0.09
survival,one_minus,0,0.322361,0.352841,0.08
survival,one_minus,1,0.287030,0.330832,0.08
survival,neg,0,0.286174,0.332199,0.08
survival,neg,1,0.283784,0.330275,0.08
survival,net,0,0.283153,0.330285,0.09
survival,net,1,0.290494,0.332496,0.08
survival,net2,0,0.284682,0.329923,0.08
survival,net2,1,0.284625,0.327515,0.08
binary,relative,0,0.285121,0.329168,0.08
binary,relative,1,0.285463,0.329729,0.08
binary,centered,0,0.286055,0.329634,0.08
binary,centered,1,0.285405,0.331100,0.08
binary,one_minus,0,0.285513,0.330164,0.08
binary,one_minus,1,0.285553,0.330925,0.08
binary,neg,0,0.285153,0.329043,0.08
binary,neg,1,0.285006,0.330729,0.09
binary,net,0,0.285675,0.329556,0.08
binary,net,1,0.284548,0.330195,0.08
binary,net2,0,0.285048,0.329429,0.08
binary,net2,1,0.285338,0.331545,0.08
