group,config_id,trace,mode,sac_net_arch,sac_buffer_size,sac_batch_size,rc,result_line,log_file
"net","net1","1063","log1p","256","10000","256","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     5GiB,        360960512 req, miss ratio 0.022259, byte miss ratio 0.025392, throughput 0.65 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net1_1063.log"
"net","net1","meta","log1p","256","10000","256","0","data/MetaCDN/meta_reag.oracleGeneral.zst LOH-OMR cache size    16TiB,         45623306 req, miss ratio 0.269082, byte miss ratio 0.156019, throughput 1.17 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net1_meta.log"
"net","net1","wiki","reciprocal","256","10000","256","0","data/WikiCDN/wiki_2019t.oracleGeneral.zst LOH-OMR cache size    40GiB,        207646002 req, miss ratio 0.176379, byte miss ratio 0.139362, throughput 0.11 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net1_wiki.log"
"net","net3","1063","log1p","512,512,256","10000","256","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     5GiB,        360960512 req, miss ratio 0.022233, byte miss ratio 0.025384, throughput 0.63 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net3_1063.log"
"net","net3","meta","log1p","512,512,256","10000","256","0","data/MetaCDN/meta_reag.oracleGeneral.zst LOH-OMR cache size    16TiB,         45623306 req, miss ratio 0.269081, byte miss ratio 0.156174, throughput 1.08 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net3_meta.log"
"net","net3","wiki","reciprocal","512,512,256","10000","256","0","data/WikiCDN/wiki_2019t.oracleGeneral.zst LOH-OMR cache size    40GiB,        207646002 req, miss ratio 0.176661, byte miss ratio 0.138957, throughput 0.10 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net3_wiki.log"
"net","net4","1063","log1p","512,512,256,256","10000","256","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     5GiB,        360960512 req, miss ratio 0.022063, byte miss ratio 0.025184, throughput 0.59 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net4_1063.log"
"net","net4","meta","log1p","512,512,256,256","10000","256","0","data/MetaCDN/meta_reag.oracleGeneral.zst LOH-OMR cache size    16TiB,         45623306 req, miss ratio 0.269083, byte miss ratio 0.156285, throughput 1.09 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net4_meta.log"
"net","net4","wiki","reciprocal","512,512,256,256","10000","256","0","data/WikiCDN/wiki_2019t.oracleGeneral.zst LOH-OMR cache size    40GiB,        207646002 req, miss ratio 0.176546, byte miss ratio 0.139412, throughput 0.10 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/net_net4_wiki.log"
"bb","bb_50k_512","1063","log1p","256,256","50000","512","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     5GiB,        360960512 req, miss ratio 0.022153, byte miss ratio 0.025285, throughput 0.61 MQPS","/home/dingkp/libCacheSim/tmp/full_default_netbuf_full_0313_221815/logs/bb_bb_50k_512_1063.log"
