task_id,phase,kind,trace,size,mode,weights_obs,algo,rc,result_line,log_file
"phaseA_rl_1063_0p1_log1p_w1","phaseA","rl","1063","0.1","log1p","1","LOH","143","Using trace file: data/TencentCBS/1063.oracleGeneral.zst (type: oracleGeneral, cache size ratio: 0.1)","tmp/phase_ab_0312_223925/logs/phaseA_rl_1063_0p1_log1p_w1.log"
"phaseA_rl_meta_0p1_log1p_w1","phaseA","rl","meta","0.1","log1p","1","LOH","143","Using trace file: data/MetaCDN/meta_reag.oracleGeneral.zst (type: oracleGeneral, cache size ratio: 0.1)","tmp/phase_ab_0312_223925/logs/phaseA_rl_meta_0p1_log1p_w1.log"
"phaseA_rl_wiki_0p1_reciprocal_w1","phaseA","rl","wiki","0.1","reciprocal","1","LOH","143","Using trace file: data/WikiCDN/wiki_2019t.oracleGeneral.zst (type: oracleGeneral, cache size ratio: 0.1)","tmp/phase_ab_0312_223925/logs/phaseA_rl_wiki_0p1_reciprocal_w1.log"
"phaseB_rl_1063_0p1_log1p_w0","phaseB","rl","1063","0.1","log1p","0","LOH","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     5GiB,        360960512 req, miss ratio 0.027173, byte miss ratio 0.030128, throughput 0.55 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_rl_1063_0p1_log1p_w0.log"
"phaseA_rl_1063_0p1_log1p_w1","phaseA","rl","1063","0.1","log1p","1","LOH","0","data/TencentCBS/1063.oracleGeneral.zst LOH-OMR cache size     5GiB,        360960512 req, miss ratio 0.026920, byte miss ratio 0.029850, throughput 0.33 MQPS","tmp/phase_ab_0312_223925/logs/phaseA_rl_1063_0p1_log1p_w1.log"
"phaseA_rl_meta_0p1_log1p_w1","phaseA","rl","meta","0.1","log1p","1","LOH","0","data/MetaCDN/meta_reag.oracleGeneral.zst LOH-OMR cache size    16TiB,         45623306 req, miss ratio 0.269001, byte miss ratio 0.157198, throughput 0.80 MQPS","tmp/phase_ab_0312_223925/logs/phaseA_rl_meta_0p1_log1p_w1.log"
"phaseA_rl_wiki_0p1_reciprocal_w1","phaseA","rl","wiki","0.1","reciprocal","1","LOH","0","data/WikiCDN/wiki_2019t.oracleGeneral.zst LOH-OMR cache size    40GiB,        207646002 req, miss ratio 0.177137, byte miss ratio 0.138797, throughput 0.07 MQPS","tmp/phase_ab_0312_223925/logs/phaseA_rl_wiki_0p1_reciprocal_w1.log"
"phaseB_rl_meta_0p1_log1p_w0","phaseB","rl","meta","0.1","log1p","0","LOH","0","data/MetaCDN/meta_reag.oracleGeneral.zst LOH-OMR cache size    16TiB,         45623306 req, miss ratio 0.269004, byte miss ratio 0.157267, throughput 0.71 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_rl_meta_0p1_log1p_w0.log"
"phaseB_rl_wiki_0p1_reciprocal_w0","phaseB","rl","wiki","0.1","reciprocal","0","LOH","0","data/WikiCDN/wiki_2019t.oracleGeneral.zst LOH-OMR cache size    40GiB,        207646002 req, miss ratio 0.178754, byte miss ratio 0.139111, throughput 0.07 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_rl_wiki_0p1_reciprocal_w0.log"
"phaseB_rl_Alibaba-4_0p1_log1p_w0","phaseB","rl","Alibaba-4","0.1","log1p","0","LOH","143","Using trace file: data/Alibaba/alibabaBlock_4.oracleGeneral.zst (type: oracleGeneral, cache size ratio: 0.1)","tmp/phase_ab_0312_223925/logs/phaseB_rl_Alibaba-4_0p1_log1p_w0.log"
"phaseB_bl_Alibaba-4_0p1_BeladySize","phaseB","baseline","Alibaba-4","0.1","-","0","BeladySize","0","[0mdata/Alibaba/alibabaBlock_4.oracleGeneral.zst BeladySize cache size    35GiB,       1576134095 req, miss ratio 0.031616, byte miss ratio 0.047520, throughput 7.54 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_bl_Alibaba-4_0p1_BeladySize.log"
"phaseB_bl_Alibaba-4_0p1_Belady","phaseB","baseline","Alibaba-4","0.1","-","0","Belady","0","[0mdata/Alibaba/alibabaBlock_4.oracleGeneral.zst Belady cache size    35GiB,       1576134095 req, miss ratio 0.031616, byte miss ratio 0.047520, throughput 5.04 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_bl_Alibaba-4_0p1_Belady.log"
"phaseB_rl_Alibaba-4_0p1_reciprocal_w0","phaseB","rl","Alibaba-4","0.1","reciprocal","0","LOH","143","Using trace file: data/Alibaba/alibabaBlock_4.oracleGeneral.zst (type: oracleGeneral, cache size ratio: 0.1)","tmp/phase_ab_0312_223925/logs/phaseB_rl_Alibaba-4_0p1_reciprocal_w0.log"
"phaseB_bl_Alibaba-4_0p1_GDSF","phaseB","baseline","Alibaba-4","0.1","-","0","GDSF","0","[0mdata/Alibaba/alibabaBlock_4.oracleGeneral.zst GDSF cache size    35GiB,       1576134095 req, miss ratio 0.032012, byte miss ratio 0.049435, throughput 0.69 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_bl_Alibaba-4_0p1_GDSF.log"
"phaseB_bl_Alibaba-4_0p1_3LCache-OMR","phaseB","baseline","Alibaba-4","0.1","-","0","3LCache-OMR","0","[0mdata/Alibaba/alibabaBlock_4.oracleGeneral.zst ThreeLCache-OMR cache size    35GiB,       1576134095 req, miss ratio 0.031689, byte miss ratio 0.048377, throughput 1.02 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_bl_Alibaba-4_0p1_3LCache-OMR.log"
"phaseB_bl_Alibaba-4_0p1_3LCache-BMR","phaseB","baseline","Alibaba-4","0.1","-","0","3LCache-BMR","0","[0mdata/Alibaba/alibabaBlock_4.oracleGeneral.zst ThreeLCache-BMR cache size    35GiB,       1576134095 req, miss ratio 0.031700, byte miss ratio 0.047994, throughput 0.99 MQPS","tmp/phase_ab_0312_223925/logs/phaseB_bl_Alibaba-4_0p1_3LCache-BMR.log"
