task_id,phase,kind,trace,size,mode,weights_obs,algo
phaseA_rl_1063_0p1_log1p_w1,phaseA,rl,1063,0.1,log1p,1,LOH
phaseA_rl_meta_0p1_log1p_w1,phaseA,rl,meta,0.1,log1p,1,LOH
phaseA_rl_wiki_0p1_reciprocal_w1,phaseA,rl,wiki,0.1,reciprocal,1,LOH
phaseB_rl_1063_0p1_log1p_w0,phaseB,rl,1063,0.1,log1p,0,LOH
phaseB_rl_1063_0p001_log1p_w0,phaseB,rl,1063,0.001,log1p,0,LOH
phaseB_bl_1063_0p001_BeladySize,phaseB,baseline,1063,0.001,-,0,BeladySize
phaseB_bl_1063_0p001_Belady,phaseB,baseline,1063,0.001,-,0,Belady
phaseB_bl_1063_0p001_GDSF,phaseB,baseline,1063,0.001,-,0,GDSF
phaseB_bl_1063_0p001_3LCache-OMR,phaseB,baseline,1063,0.001,-,0,3LCache-OMR
phaseB_bl_1063_0p001_3LCache-BMR,phaseB,baseline,1063,0.001,-,0,3LCache-BMR
phaseB_bl_1063_0p001_S3FIFO,phaseB,baseline,1063,0.001,-,0,S3FIFO
phaseB_bl_1063_0p001_LRU,phaseB,baseline,1063,0.001,-,0,LRU
phaseB_bl_1063_0p001_LFU,phaseB,baseline,1063,0.001,-,0,LFU
phaseB_rl_meta_0p1_log1p_w0,phaseB,rl,meta,0.1,log1p,0,LOH
phaseB_rl_meta_0p001_log1p_w0,phaseB,rl,meta,0.001,log1p,0,LOH
phaseB_bl_meta_0p001_BeladySize,phaseB,baseline,meta,0.001,-,0,BeladySize
phaseB_bl_meta_0p001_Belady,phaseB,baseline,meta,0.001,-,0,Belady
phaseB_bl_meta_0p001_GDSF,phaseB,baseline,meta,0.001,-,0,GDSF
phaseB_bl_meta_0p001_3LCache-OMR,phaseB,baseline,meta,0.001,-,0,3LCache-OMR
phaseB_bl_meta_0p001_3LCache-BMR,phaseB,baseline,meta,0.001,-,0,3LCache-BMR
phaseB_bl_meta_0p001_S3FIFO,phaseB,baseline,meta,0.001,-,0,S3FIFO
phaseB_bl_meta_0p001_LRU,phaseB,baseline,meta,0.001,-,0,LRU
phaseB_bl_meta_0p001_LFU,phaseB,baseline,meta,0.001,-,0,LFU
phaseB_rl_wiki_0p1_reciprocal_w0,phaseB,rl,wiki,0.1,reciprocal,0,LOH
phaseB_rl_wiki_0p001_reciprocal_w0,phaseB,rl,wiki,0.001,reciprocal,0,LOH
phaseB_bl_wiki_0p001_BeladySize,phaseB,baseline,wiki,0.001,-,0,BeladySize
phaseB_bl_wiki_0p001_Belady,phaseB,baseline,wiki,0.001,-,0,Belady
phaseB_bl_wiki_0p001_GDSF,phaseB,baseline,wiki,0.001,-,0,GDSF
phaseB_bl_wiki_0p001_3LCache-OMR,phaseB,baseline,wiki,0.001,-,0,3LCache-OMR
phaseB_bl_wiki_0p001_3LCache-BMR,phaseB,baseline,wiki,0.001,-,0,3LCache-BMR
phaseB_bl_wiki_0p001_S3FIFO,phaseB,baseline,wiki,0.001,-,0,S3FIFO
phaseB_bl_wiki_0p001_LRU,phaseB,baseline,wiki,0.001,-,0,LRU
phaseB_bl_wiki_0p001_LFU,phaseB,baseline,wiki,0.001,-,0,LFU
phaseB_rl_Alibaba-4_0p1_log1p_w0,phaseB,rl,Alibaba-4,0.1,log1p,0,LOH
phaseB_rl_Alibaba-4_0p1_reciprocal_w0,phaseB,rl,Alibaba-4,0.1,reciprocal,0,LOH
