trace,formula,mode,status,rc,mr,bmr,log_path
1063,log1p,baseline,ok,0,0.022102,0.025233,tmp/sec20_full_matrix_0314_4way/1063_log1p_baseline.log
1063,log1p,adaptive_norm,failed,143,NA,NA,tmp/sec20_full_matrix_0314_4way/1063_log1p_adaptive_norm.log
wiki,log1p,baseline,failed,143,NA,NA,tmp/sec20_full_matrix_0314_4way/wiki_log1p_baseline.log
1063,log1p,fixed_norm,failed,143,NA,NA,tmp/sec20_full_matrix_0314_4way/1063_log1p_fixed_norm.log
wiki,log1p,fixed_norm,failed,1,NA,NA,tmp/sec20_full_matrix_0314_4way/wiki_log1p_fixed_norm.log
wiki,reciprocal,baseline,failed,1,NA,NA,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_baseline.log
wiki,reciprocal,adaptive_norm,ok,0,0.176406,0.139512,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_adaptive_norm.log
wiki,log1p,adaptive_norm,ok,0,0.206722,0.191830,tmp/sec20_full_matrix_0314_4way/wiki_log1p_adaptive_norm.log
wiki,reciprocal,fixed_norm,failed,143,NA,NA,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_fixed_norm.log
meta,log1p,baseline,failed,143,NA,NA,tmp/sec20_full_matrix_0314_4way/meta_log1p_baseline.log
meta,log1p,fixed_norm,failed,143,NA,NA,tmp/sec20_full_matrix_0314_4way/meta_log1p_fixed_norm.log
meta,log1p,fixed_norm,failed,1,NA,NA,tmp/sec20_full_matrix_0314_4way/meta_log1p_fixed_norm.log
meta,log1p,baseline,ok,0,0.269086,0.155988,tmp/sec20_full_matrix_0314_4way/meta_log1p_baseline.log
meta,log1p,adaptive_norm,ok,0,0.269084,0.156330,tmp/sec20_full_matrix_0314_4way/meta_log1p_adaptive_norm.log
meta,log1p,adaptive_norm,ok,0,0.269082,0.156001,tmp/sec20_full_matrix_0314_4way/meta_log1p_adaptive_norm_retry1.log
1063,log1p,adaptive_norm,ok,0,0.022218,0.025376,tmp/sec20_full_matrix_0314_4way/1063_log1p_adaptive_norm_retry1.log
meta,log1p,fixed_norm,ok,0,0.269273,0.153586,tmp/sec20_full_matrix_0314_4way/meta_log1p_fixed_norm_retry2.log
wiki,log1p,fixed_norm,ok,0,0.173224,0.132204,tmp/sec20_full_matrix_0314_4way/wiki_log1p_fixed_norm_retry1.log
wiki,reciprocal,fixed_norm,ok,0,0.175896,0.142169,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_fixed_norm_retry1.log
1063,log1p,fixed_norm,ok,0,0.150780,0.147096,tmp/sec20_full_matrix_0314_4way/1063_log1p_fixed_norm_retry1.log
wiki,reciprocal,baseline,ok,0,0.177262,0.139384,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_baseline_retry2.log
wiki,log1p,baseline,ok,0,0.205365,0.189246,tmp/sec20_full_matrix_0314_4way/wiki_log1p_baseline_retry2.log
