trace,source,config,mr,bmr,mqps,log_path
1063,sec21_1_matrix,log1p_adaptive_norm,0.022218,0.025376,0.33,tmp/sec20_full_matrix_0314_4way/1063_log1p_adaptive_norm_retry1.log
1063,sec21_1_matrix,log1p_baseline,0.022102,0.025233,0.39,tmp/sec20_full_matrix_0314_4way/1063_log1p_baseline.log
1063,sec21_1_matrix,log1p_fixed_norm,0.150780,0.147096,0.06,tmp/sec20_full_matrix_0314_4way/1063_log1p_fixed_norm_retry1.log
1063,sec23_unified_4x3,v1_adaptive_norm,0.135716,0.130175,0.18,tmp/unified_variants_full_0315/1063_v1_adaptive_norm.log
1063,sec23_unified_4x3,v1_baseline,0.135574,0.130050,0.19,tmp/unified_variants_full_0315/1063_v1_baseline.log
1063,sec23_unified_4x3,v1_fixed_norm,0.147423,0.140179,0.10,tmp/unified_variants_full_0315/1063_v1_fixed_norm.log
1063,sec23_unified_4x3,v2_adaptive_norm,0.134403,0.128836,0.18,tmp/unified_variants_full_0315/1063_v2_adaptive_norm.log
1063,sec23_unified_4x3,v2_baseline,0.134380,0.128799,0.19,tmp/unified_variants_full_0315/1063_v2_baseline.log
1063,sec23_unified_4x3,v2_fixed_norm,0.151627,0.149239,0.10,tmp/unified_variants_full_0315/1063_v2_fixed_norm.log
1063,sec23_unified_4x3,v3_adaptive_norm,0.136312,0.130844,0.17,tmp/unified_variants_full_0315/1063_v3_adaptive_norm.log
1063,sec23_unified_4x3,v3_baseline,0.134511,0.128998,0.18,tmp/unified_variants_full_0315/1063_v3_baseline.log
1063,sec23_unified_4x3,v3_fixed_norm,0.137653,0.132828,0.11,tmp/unified_variants_full_0315/1063_v3_fixed_norm.log
1063,sec23_unified_4x3,v4_adaptive_norm,0.136609,0.131216,0.17,tmp/unified_variants_full_0315/1063_v4_adaptive_norm.log
1063,sec23_unified_4x3,v4_baseline,0.134222,0.128671,0.19,tmp/unified_variants_full_0315/1063_v4_baseline.log
1063,sec23_unified_4x3,v4_fixed_norm,0.123408,0.121323,0.12,tmp/unified_variants_full_0315/1063_v4_fixed_norm.log
wiki,sec21_1_matrix,log1p_adaptive_norm,0.206722,0.191830,0.06,tmp/sec20_full_matrix_0314_4way/wiki_log1p_adaptive_norm.log
wiki,sec21_1_matrix,log1p_baseline,0.205365,0.189246,0.07,tmp/sec20_full_matrix_0314_4way/wiki_log1p_baseline_retry2.log
wiki,sec21_1_matrix,log1p_fixed_norm,0.173224,0.132204,0.05,tmp/sec20_full_matrix_0314_4way/wiki_log1p_fixed_norm_retry1.log
wiki,sec21_1_matrix,reciprocal_adaptive_norm,0.176406,0.139512,0.07,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_adaptive_norm.log
wiki,sec21_1_matrix,reciprocal_baseline,0.177262,0.139384,0.09,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_baseline_retry2.log
wiki,sec21_1_matrix,reciprocal_fixed_norm,0.175896,0.142169,0.05,tmp/sec20_full_matrix_0314_4way/wiki_reciprocal_fixed_norm_retry1.log
wiki,sec23_unified_4x3,v1_adaptive_norm,0.176739,0.139209,0.10,tmp/unified_variants_full_0315/wiki_v1_adaptive_norm.log
wiki,sec23_unified_4x3,v1_baseline,0.176635,0.138814,0.10,tmp/unified_variants_full_0315/wiki_v1_baseline.log
wiki,sec23_unified_4x3,v1_fixed_norm,0.176330,0.145030,0.07,tmp/unified_variants_full_0315/wiki_v1_fixed_norm.log
wiki,sec23_unified_4x3,v2_adaptive_norm,0.176911,0.139159,0.10,tmp/unified_variants_full_0315/wiki_v2_adaptive_norm.log
wiki,sec23_unified_4x3,v2_baseline,0.176824,0.139624,0.10,tmp/unified_variants_full_0315/wiki_v2_baseline.log
wiki,sec23_unified_4x3,v2_fixed_norm,0.177098,0.141634,0.07,tmp/unified_variants_full_0315/wiki_v2_fixed_norm.log
wiki,sec23_unified_4x3,v3_adaptive_norm,0.176688,0.139282,0.09,tmp/unified_variants_full_0315/wiki_v3_adaptive_norm.log
wiki,sec23_unified_4x3,v3_baseline,0.176985,0.139075,0.10,tmp/unified_variants_full_0315/wiki_v3_baseline.log
wiki,sec23_unified_4x3,v3_fixed_norm,0.176361,0.142539,0.07,tmp/unified_variants_full_0315/wiki_v3_fixed_norm.log
wiki,sec23_unified_4x3,v4_adaptive_norm,0.177108,0.138874,0.10,tmp/unified_variants_full_0315/wiki_v4_adaptive_norm.log
wiki,sec23_unified_4x3,v4_baseline,0.176391,0.139051,0.10,tmp/unified_variants_full_0315/wiki_v4_baseline.log
