trace,combo,status,rc,mr,bmr,log_path
1063,v1_baseline,ok,0,0.135574,0.130050,tmp/unified_variants_full_0315/1063_v1_baseline.log
1063,v2_baseline,ok,0,0.134380,0.128799,tmp/unified_variants_full_0315/1063_v2_baseline.log
1063,v1_adaptive_norm,ok,0,0.135716,0.130175,tmp/unified_variants_full_0315/1063_v1_adaptive_norm.log
1063,v1_fixed_norm,ok,0,0.147423,0.140179,tmp/unified_variants_full_0315/1063_v1_fixed_norm.log
1063,v2_fixed_norm,ok,0,0.151627,0.149239,tmp/unified_variants_full_0315/1063_v2_fixed_norm.log
1063,v3_baseline,ok,0,0.134511,0.128998,tmp/unified_variants_full_0315/1063_v3_baseline.log
1063,v2_adaptive_norm,ok,0,0.134403,0.128836,tmp/unified_variants_full_0315/1063_v2_adaptive_norm.log
1063,v3_fixed_norm,ok,0,0.137653,0.132828,tmp/unified_variants_full_0315/1063_v3_fixed_norm.log
1063,v4_baseline,ok,0,0.134222,0.128671,tmp/unified_variants_full_0315/1063_v4_baseline.log
1063,v3_adaptive_norm,ok,0,0.136312,0.130844,tmp/unified_variants_full_0315/1063_v3_adaptive_norm.log
1063,v4_fixed_norm,ok,0,0.123408,0.121323,tmp/unified_variants_full_0315/1063_v4_fixed_norm.log
1063,v4_adaptive_norm,ok,0,0.136609,0.131216,tmp/unified_variants_full_0315/1063_v4_adaptive_norm.log
wiki,v1_baseline,ok,0,0.176635,0.138814,tmp/unified_variants_full_0315/wiki_v1_baseline.log
wiki,v1_adaptive_norm,ok,0,0.176739,0.139209,tmp/unified_variants_full_0315/wiki_v1_adaptive_norm.log
wiki,v1_fixed_norm,ok,0,0.176330,0.145030,tmp/unified_variants_full_0315/wiki_v1_fixed_norm.log
wiki,v2_baseline,ok,0,0.176824,0.139624,tmp/unified_variants_full_0315/wiki_v2_baseline.log
wiki,v2_fixed_norm,ok,0,0.177098,0.141634,tmp/unified_variants_full_0315/wiki_v2_fixed_norm.log
wiki,v3_baseline,ok,0,0.176985,0.139075,tmp/unified_variants_full_0315/wiki_v3_baseline.log
wiki,v2_adaptive_norm,ok,0,0.176911,0.139159,tmp/unified_variants_full_0315/wiki_v2_adaptive_norm.log
wiki,v3_fixed_norm,ok,0,0.176361,0.142539,tmp/unified_variants_full_0315/wiki_v3_fixed_norm.log
wiki,v3_adaptive_norm,ok,0,0.176688,0.139282,tmp/unified_variants_full_0315/wiki_v3_adaptive_norm.log
wiki,v4_baseline,ok,0,0.176391,0.139051,tmp/unified_variants_full_0315/wiki_v4_baseline.log
meta,v1_baseline,ok,0,0.269079,0.155817,tmp/unified_variants_full_0315/meta_v1_baseline.log
meta,v1_fixed_norm,ok,0,0.269286,0.153529,tmp/unified_variants_full_0315/meta_v1_fixed_norm.log
wiki,v4_fixed_norm,ok,0,0.176335,0.141077,tmp/unified_variants_full_0315/wiki_v4_fixed_norm.log
meta,v1_adaptive_norm,ok,0,0.269085,0.156094,tmp/unified_variants_full_0315/meta_v1_adaptive_norm.log
wiki,v4_adaptive_norm,ok,0,0.177108,0.138874,tmp/unified_variants_full_0315/wiki_v4_adaptive_norm.log
meta,v2_baseline,ok,0,0.269080,0.156000,tmp/unified_variants_full_0315/meta_v2_baseline.log
meta,v3_baseline,ok,0,0.269081,0.156079,tmp/unified_variants_full_0315/meta_v3_baseline.log
meta,v2_adaptive_norm,ok,0,0.269083,0.156141,tmp/unified_variants_full_0315/meta_v2_adaptive_norm.log
meta,v2_fixed_norm,ok,0,0.269281,0.153506,tmp/unified_variants_full_0315/meta_v2_fixed_norm.log
meta,v4_baseline,ok,0,0.269084,0.156241,tmp/unified_variants_full_0315/meta_v4_baseline.log
meta,v3_fixed_norm,ok,0,0.269290,0.153691,tmp/unified_variants_full_0315/meta_v3_fixed_norm.log
meta,v3_adaptive_norm,ok,0,0.269080,0.155949,tmp/unified_variants_full_0315/meta_v3_adaptive_norm.log
meta,v4_fixed_norm,ok,0,0.269291,0.153702,tmp/unified_variants_full_0315/meta_v4_fixed_norm.log
meta,v4_adaptive_norm,ok,0,0.269950,0.156633,tmp/unified_variants_full_0315/meta_v4_adaptive_norm.log
