trace,config,identity,status,rc,mr24,imr24,mr48,imr48,mr72,imr72,mr96,imr96,final_mr,final_bmr,final_mqps,log_path
1063,lo01_hi099,1,ok,0,0.1121,0.1121,0.0822,0.0455,0.0547,0.0192,0.0421,0.0094,0.024527,0.031717,0.37,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi099_id1.log
1063,lo05_hi099,1,ok,0,0.1125,0.1125,0.0826,0.0457,0.0549,0.0193,0.0422,0.0093,0.024567,0.031759,0.37,tmp/1063_bound_effect_0316_w0_identity/1063_lo05_hi099_id1.log
1063,lo005_hi099,1,ok,0,0.1121,0.1121,0.0823,0.0456,0.0547,0.0193,0.0421,0.0093,0.024503,0.031687,0.36,tmp/1063_bound_effect_0316_w0_identity/1063_lo005_hi099_id1.log
1063,lo01_hi0995,1,ok,0,0.1139,0.1139,0.0845,0.0483,0.0569,0.0215,0.0441,0.0107,0.025703,0.033219,0.35,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi0995_id1.log
1063,lo01_hi0995,0,ok,0,0.1132,0.1132,0.0917,0.0653,0.0665,0.0341,0.0511,0.0110,0.026017,0.027321,0.26,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi0995_id0.log
1063,lo05_hi099,0,ok,0,0.1176,0.1176,0.0973,0.0723,0.0711,0.0375,0.0545,0.0112,0.027281,0.028635,0.25,tmp/1063_bound_effect_0316_w0_identity/1063_lo05_hi099_id0.log
1063,lo01_hi099,0,ok,0,0.1189,0.1189,0.0978,0.0719,0.0718,0.0383,0.0552,0.0121,0.027885,0.028984,0.25,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi099_id0.log
1063,lo005_hi099,0,ok,0,0.1234,0.1234,0.1034,0.0788,0.0784,0.0462,0.0613,0.0169,0.031165,0.031696,0.23,tmp/1063_bound_effect_0316_w0_identity/1063_lo005_hi099_id0.log
1063,lo00_hi100,1,ok,0,0.1309,0.1309,0.0964,0.0539,0.0646,0.0238,0.0501,0.0122,0.028764,0.036768,0.34,tmp/1063_bound_effect_0316_w0_identity/1063_lo00_hi100_id1.log
1063,lo01_hi095,1,ok,0,0.1663,0.1663,0.1379,0.1029,0.0984,0.0477,0.0747,0.0128,0.039336,0.046858,0.29,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi095_id1.log
1063,lo00_hi100,0,ok,0,0.0979,0.0979,0.0776,0.0526,0.0564,0.0291,0.0440,0.0117,0.022775,0.024144,0.29,tmp/1063_bound_effect_0316_w0_identity/1063_lo00_hi100_id0.log
1063,lo01_hi100,1,ok,0,0.1310,0.1310,0.0963,0.0537,0.0646,0.0237,0.0500,0.0120,0.028690,0.036756,0.36,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi100_id1.log
1063,lo00_hi099,1,ok,0,0.1121,0.1121,0.0823,0.0457,0.0548,0.0194,0.0422,0.0094,0.024554,0.031761,0.40,tmp/1063_bound_effect_0316_w0_identity/1063_lo00_hi099_id1.log
1063,lo01_hi100,0,ok,0,0.1043,0.1043,0.0864,0.0642,0.0641,0.0356,0.0501,0.0136,0.026181,0.027025,0.29,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi100_id0.log
1063,lo00_hi099,0,ok,0,0.1131,0.1131,0.0917,0.0654,0.0676,0.0365,0.0524,0.0128,0.026594,0.027861,0.30,tmp/1063_bound_effect_0316_w0_identity/1063_lo00_hi099_id0.log
1063,lo01_hi095,0,ok,0,0.1417,0.1417,0.1249,0.1042,0.1008,0.0699,0.0815,0.0310,0.041828,0.041097,0.21,tmp/1063_bound_effect_0316_w0_identity/1063_lo01_hi095_id0.log
