trace,config,method,status,rc,mr24,imr24,mr48,imr48,mr72,imr72,mr96,imr96,final_mr,final_bmr,final_mqps,log_path
meta,sec21_log1p_baseline,-,ok,0,NA,NA,NA,NA,NA,NA,NA,NA,0.273643,0.158179,0.24,tmp/unified_three_cfg_0316/meta_sec21_log1p_baseline.log
meta,sec21_log1p_adaptive_norm,-,ok,0,NA,NA,NA,NA,NA,NA,NA,NA,0.273476,0.156348,0.22,tmp/unified_three_cfg_0316/meta_sec21_log1p_adaptive_norm.log
meta,new_m6_qlog_gamma,6,ok,0,NA,NA,NA,NA,NA,NA,NA,NA,0.274197,0.156242,0.15,tmp/unified_three_cfg_0316/meta_new_m6_qlog_gamma.log
meta,sec21_log1p_fixed_norm,-,ok,0,NA,NA,NA,NA,NA,NA,NA,NA,0.273640,0.155162,0.13,tmp/unified_three_cfg_0316/meta_sec21_log1p_fixed_norm.log
meta,new_m4_cdf_like,4,ok,0,NA,NA,NA,NA,NA,NA,NA,NA,0.274842,0.155345,0.08,tmp/unified_three_cfg_0316/meta_new_m4_cdf_like.log
meta,sec21_recip_baseline,-,ok,0,NA,NA,NA,NA,NA,NA,NA,NA,0.269107,0.160246,0.72,tmp/unified_three_cfg_0316/meta_sec21_recip_baseline.log
meta,sec23_v1_fixed_norm,1,failed,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/meta_sec23_v1_fixed_norm.log
meta,sec21_recip_adaptive_norm,-,failed,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/meta_sec21_recip_adaptive_norm.log
meta,sec23_v1_adaptive_norm,1,failed,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/meta_sec23_v1_adaptive_norm.log
meta,sec23_v2_baseline,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/meta_sec23_v2_baseline.log
meta,sec23_v2_fixed_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/meta_sec23_v2_fixed_norm.log
meta,sec23_v2_adaptive_norm,1,failed,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tmp/unified_three_cfg_0316/meta_sec23_v2_adaptive_norm.log
