path,trace,reward_mode,use_miss,miss_mode,use_trend,trend_mode,status,rc,final_mr,final_bmr,final_mqps,log_path
abs_miss_neg,meta,absolute,1,neg,0,slope,ok,0,0.269170,0.153725,0.53,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_miss_neg_cache01_0318_014126.log
abs_miss_neg,1063,absolute,1,neg,0,slope,ok,0,0.022836,0.024185,0.36,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_miss_neg_cache01_0318_014126.log
abs_miss_improve,1063,absolute,1,improve,0,slope,ok,0,0.022766,0.024121,0.34,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_miss_improve_cache01_0318_014310.log
abs_miss_improve,meta,absolute,1,improve,0,slope,ok,0,0.269178,0.153751,0.49,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_miss_improve_cache01_0318_020125.log
abs_trend_slope,1063,absolute,0,neg,1,slope,ok,0,0.022827,0.024188,0.31,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_trend_slope_cache01_0318_020317.log
abs_miss_neg,wiki,absolute,1,neg,0,slope,ok,0,0.171652,0.138682,0.06,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_miss_neg_cache01_0318_014126.log
abs_trend_slope,meta,absolute,0,neg,1,slope,ok,0,0.269170,0.153808,0.43,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_trend_slope_cache01_0318_024100.log
abs_miss_improve,wiki,absolute,1,improve,0,slope,ok,0,0.171454,0.139271,0.06,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_miss_improve_cache01_0318_015849.log
abs_trend_delta,1063,absolute,0,neg,1,delta,ok,0,0.022776,0.024118,0.32,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_trend_delta_cache01_0318_024308.log
abs_trend_delta,meta,absolute,0,neg,1,delta,ok,0,0.269179,0.153750,0.44,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_trend_delta_cache01_0318_030304.log
abs_miss_neg_trend_slope,1063,absolute,1,neg,1,slope,ok,0,0.022806,0.024168,0.31,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_miss_neg_trend_slope_cache01_0318_030511.log
abs_trend_slope,wiki,absolute,0,neg,1,slope,ok,0,0.171360,0.139500,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_trend_slope_cache01_0318_022326.log
abs_miss_neg_trend_slope,meta,absolute,1,neg,1,slope,ok,0,0.269156,0.153829,0.43,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_miss_neg_trend_slope_cache01_0318_032822.log
abs_miss_neg_trend_delta,1063,absolute,1,neg,1,delta,ok,0,0.022871,0.024206,0.30,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_miss_neg_trend_delta_cache01_0318_033030.log
abs_trend_delta,wiki,absolute,0,neg,1,delta,ok,0,0.171433,0.139447,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_trend_delta_cache01_0318_030122.log
abs_miss_neg_trend_delta,meta,absolute,1,neg,1,delta,ok,0,0.269173,0.153827,0.43,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_miss_neg_trend_delta_cache01_0318_040603.log
abs_miss_improve_trend_slope,1063,absolute,1,improve,1,slope,ok,0,0.022765,0.024110,0.29,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_miss_improve_trend_slope_cache01_0318_040812.log
abs_miss_neg_trend_slope,wiki,absolute,1,neg,1,slope,ok,0,0.171395,0.139616,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_miss_neg_trend_slope_cache01_0318_032535.log
abs_miss_improve_trend_slope,meta,absolute,1,improve,1,slope,ok,0,0.269158,0.153993,0.41,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_miss_improve_trend_slope_cache01_0318_043133.log
abs_miss_improve_trend_delta,1063,absolute,1,improve,1,delta,ok,0,0.022670,0.024029,0.28,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_abs_miss_improve_trend_delta_cache01_0318_043348.log
abs_miss_neg_trend_delta,wiki,absolute,1,neg,1,delta,ok,0,0.171473,0.139589,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_miss_neg_trend_delta_cache01_0318_035141.log
abs_miss_improve_trend_delta,meta,absolute,1,improve,1,delta,ok,0,0.269168,0.153931,0.41,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_abs_miss_improve_trend_delta_cache01_0318_050254.log
delta_only,1063,delta,0,neg,0,slope,ok,0,0.022700,0.024046,0.29,tmp/reward_paths_nondefault_orig3_cache01_0318/1063_delta_only_cache01_0318_050509.log
abs_miss_improve_trend_slope,wiki,absolute,1,improve,1,slope,ok,0,0.171387,0.139777,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_miss_improve_trend_slope_cache01_0318_042950.log
delta_only,meta,delta,0,neg,0,slope,ok,0,0.269167,0.153953,0.41,tmp/reward_paths_nondefault_orig3_cache01_0318/meta_delta_only_cache01_0318_053930.log
abs_miss_improve_trend_delta,wiki,absolute,1,improve,1,delta,ok,0,0.171433,0.139747,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_abs_miss_improve_trend_delta_cache01_0318_045608.log
delta_only,wiki,delta,0,neg,0,slope,ok,0,0.171416,0.139744,0.05,tmp/reward_paths_nondefault_orig3_cache01_0318/wiki_delta_only_cache01_0318_052650.log
