algo,exclude_recent_steps,exclude_applied,trace,status,rc,final_mr,final_bmr,final_mqps,log_path
SAC,0,1,meta,ok,0,0.269175,0.153756,0.41,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_SAC_ex0_cache01_0318_020909.log
SAC,0,1,1063,ok,0,0.022888,0.024251,0.29,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_SAC_ex0_cache01_0318_020909.log
SAC,2000,1,1063,ok,0,0.022776,0.024118,0.30,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_SAC_ex2000_cache01_0318_021121.log
SAC,2000,1,meta,ok,0,0.269181,0.153934,0.43,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_SAC_ex2000_cache01_0318_023242.log
SAC,10000,1,1063,ok,0,0.022840,0.024191,0.31,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_SAC_ex10000_cache01_0318_023448.log
SAC,0,1,wiki,ok,0,0.171693,0.137391,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_SAC_ex0_cache01_0318_020909.log
SAC,10000,1,meta,ok,0,0.269182,0.153899,0.42,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_SAC_ex10000_cache01_0318_031452.log
TD3,0,1,1063,ok,0,0.018227,0.020501,0.35,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_TD3_ex0_cache01_0318_031701.log
SAC,2000,1,wiki,ok,0,0.171609,0.137780,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_SAC_ex2000_cache01_0318_023054.log
TD3,0,1,meta,ok,0,0.269051,0.155905,0.63,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_TD3_ex0_cache01_0318_033533.log
TD3,2000,1,1063,ok,0,0.021854,0.022764,0.30,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_TD3_ex2000_cache01_0318_033706.log
SAC,10000,1,wiki,ok,0,0.171546,0.138545,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_SAC_ex10000_cache01_0318_025516.log
TD3,2000,1,meta,ok,0,0.271570,0.154058,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_TD3_ex2000_cache01_0318_040204.log
TD3,0,1,wiki,ok,0,0.171890,0.151352,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_TD3_ex0_cache01_0318_033508.log
TD3,10000,1,1063,ok,0,0.064956,0.057983,0.13,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_TD3_ex10000_cache01_0318_041829.log
TD3,2000,1,wiki,ok,0,0.169343,0.143925,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_TD3_ex2000_cache01_0318_035821.log
TD3,10000,1,meta,ok,0,0.269065,0.155500,0.60,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_TD3_ex10000_cache01_0318_050511.log
DDPG,0,1,1063,ok,0,0.025112,0.025622,0.26,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_DDPG_ex0_cache01_0318_050607.log
DDPG,0,1,meta,ok,0,0.269050,0.155842,0.60,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_DDPG_ex0_cache01_0318_052958.log
DDPG,2000,1,1063,ok,0,0.017884,0.019574,0.33,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_DDPG_ex2000_cache01_0318_053137.log
TD3,10000,1,wiki,ok,0,0.172579,0.152590,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_TD3_ex10000_cache01_0318_044508.log
DDPG,0,1,wiki,ok,0,0.169344,0.138703,0.05,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_DDPG_ex0_cache01_0318_050649.log
DDPG,2000,1,meta,ok,0,0.278019,0.156120,0.04,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_DDPG_ex2000_cache01_0318_055816.log
DDPG,10000,1,1063,ok,0,0.015580,0.018117,0.41,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_DDPG_ex10000_cache01_0318_061542.log
DDPG,10000,1,meta,ok,0,0.274868,0.155105,0.06,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_DDPG_ex10000_cache01_0318_063111.log
DDPG,2000,1,wiki,ok,0,0.171271,0.136005,0.06,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_DDPG_ex2000_cache01_0318_055044.log
DQN,0,1,1063,ok,0,0.021748,0.022970,0.38,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_DQN_ex0_cache01_0318_064406.log
DQN,0,1,meta,ok,0,0.269089,0.154704,0.68,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_DQN_ex0_cache01_0318_070030.log
DDPG,10000,1,wiki,ok,0,0.173817,0.129133,0.06,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_DDPG_ex10000_cache01_0318_061604.log
DQN,2000,1,1063,ok,0,0.021908,0.023047,0.41,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_DQN_ex2000_cache01_0318_070154.log
DQN,2000,1,meta,ok,0,0.269097,0.154483,0.69,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_DQN_ex2000_cache01_0318_071711.log
DQN,10000,1,1063,ok,0,0.021717,0.022893,0.43,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_DQN_ex10000_cache01_0318_071832.log
DQN,0,1,wiki,ok,0,0.170614,0.137578,0.07,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_DQN_ex0_cache01_0318_065029.log
DQN,10000,1,meta,ok,0,0.269096,0.154772,0.73,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_DQN_ex10000_cache01_0318_074220.log
PPO,NA,0,1063,ok,0,0.022690,0.024313,0.41,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_PPO_exNA_cache01_0318_074337.log
DQN,2000,1,wiki,ok,0,0.170599,0.137526,0.07,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_DQN_ex2000_cache01_0318_071256.log
PPO,NA,0,meta,ok,0,0.269313,0.155143,0.64,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_PPO_exNA_cache01_0318_080345.log
A2C,NA,0,1063,ok,0,0.022809,0.024126,0.40,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/1063_A2C_exNA_cache01_0318_080523.log
DQN,10000,1,wiki,ok,0,0.170630,0.137668,0.07,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_DQN_ex10000_cache01_0318_073315.log
A2C,NA,0,meta,ok,0,0.269151,0.154214,0.62,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/meta_A2C_exNA_cache01_0318_082506.log
PPO,NA,0,wiki,ok,0,0.170956,0.138028,0.07,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_PPO_exNA_cache01_0318_075858.log
A2C,NA,0,wiki,ok,0,0.171168,0.142643,0.08,tmp/rl_algo_exclude_sweep_orig3_cache01_0318/wiki_A2C_exNA_cache01_0318_082102.log
