step,w0,w1,w2,w3,w4,w5,w6
1,0.19578944,0.25350285,0.24018154,0.1067708,0.14459339,0.05916202,0.0
2,0.12251835,0.18917237,0.14993651,0.29401582,0.18954477,0.05481214,0.0
3,0.07948165,0.28348476,0.18061493,0.15656838,0.14064687,0.1592033,0.0
4,0.12896585,0.39132166,0.12181238,0.09779284,0.18238509,0.07772219,0.0
5,0.23872398,0.12319505,0.10667018,0.13108835,0.19965154,0.20067091,0.0
6,0.1337429,0.18271093,0.13171142,0.14518243,0.31068617,0.09596609,0.0
7,0.16010126,0.09366675,0.32194817,0.13528526,0.06848346,0.2205151,0.0
8,0.1032135,0.11263975,0.18957055,0.06221795,0.3477895,0.18456881,0.0
9,0.28504893,0.08937697,0.11169469,0.21132876,0.09403155,0.20851907,0.0
10,0.11275677,0.44031462,0.07868993,0.15427333,0.11630299,0.0976624,0.0
11,0.28642502,0.21281575,0.0688185,0.06026074,0.1752426,0.1964374,0.0
12,0.26438218,0.17609291,0.04593826,0.269062,0.05750425,0.1870203,0.0
13,0.16361725,0.09776674,0.22520517,0.22401024,0.0933986,0.196002,0.0
14,0.38541403,0.16850461,0.05925081,0.18702066,0.1285422,0.07126768,0.0
15,0.25018176,0.11088843,0.10834168,0.17440882,0.22314216,0.13303712,0.0
16,0.08583245,0.2377515,0.12870999,0.23175687,0.0817176,0.23423156,0.0
17,0.21675868,0.08780845,0.265356,0.08913412,0.2268513,0.11409146,0.0
18,0.14493936,0.25836927,0.11113132,0.16772978,0.06208362,0.2557467,0.0
19,0.18529847,0.15356325,0.24572301,0.2696638,0.05951159,0.08623989,0.0
20,0.14562863,0.35067472,0.07189995,0.09076452,0.2679249,0.07310719,0.0
21,0.19194964,0.08734487,0.15193255,0.10427409,0.2619408,0.20255801,0.0
22,0.14666192,0.06680068,0.0892748,0.39950338,0.1438832,0.153876,0.0
23,0.19647484,0.26345548,0.1202808,0.05667559,0.10715597,0.25595734,0.0
24,0.11331345,0.07203355,0.31329146,0.19354165,0.1839356,0.12388439,0.0
25,0.20694917,0.16981813,0.11196062,0.28584087,0.15516168,0.07026948,0.0
26,0.21853055,0.19090223,0.05710219,0.23146775,0.1036016,0.19839571,0.0
27,0.072897,0.23870902,0.16744941,0.07795801,0.17193754,0.27104905,0.0
28,0.11074691,0.08836582,0.12120038,0.2544524,0.3224832,0.10275128,0.0
29,0.14523754,0.4243671,0.15012953,0.10126375,0.09577836,0.08322368,0.0
30,0.3191812,0.20250499,0.07326038,0.07632514,0.06782676,0.26090157,0.0
31,0.07759467,0.38300556,0.12986474,0.12431333,0.15266094,0.13256069,0.0
32,0.1964606,0.0875583,0.12526976,0.280057,0.14419381,0.16646044,0.0
33,0.14987423,0.24560764,0.13096847,0.14047252,0.18225814,0.15081896,0.0
34,0.21714264,0.3069156,0.14099036,0.06461876,0.06374431,0.20658834,0.0
35,0.09109644,0.19557135,0.20452607,0.1954455,0.10167,0.2116907,0.0
36,0.12763901,0.04404415,0.2383052,0.26363146,0.11214439,0.21423584,0.0
37,0.16847539,0.3482821,0.05764268,0.13737091,0.14705683,0.14117205,0.0
38,0.19101405,0.19107218,0.06252138,0.16709214,0.25992176,0.12837847,0.0
39,0.12530738,0.07998738,0.23428868,0.25687423,0.11185497,0.19168739,0.0
40,0.21985038,0.22203512,0.15406756,0.04520483,0.28529036,0.07355167,0.0
41,0.26793295,0.17356792,0.08181185,0.09528197,0.0855246,0.29588068,0.0
42,0.2868982,0.07525324,0.23929375,0.2456332,0.06792473,0.08499694,0.0
43,0.17075506,0.14721012,0.09121395,0.07088571,0.2675637,0.25237143,0.0
44,0.13435721,0.22346494,0.2967067,0.13187765,0.05630614,0.15728728,0.0
45,0.13114263,0.04762699,0.24875705,0.25973114,0.18296157,0.12978064,0.0
46,0.2301397,0.05391297,0.12260747,0.25963274,0.16056703,0.17314002,0.0
47,0.2067805,0.20279343,0.11156251,0.06883433,0.31112507,0.09890416,0.0
48,0.16952579,0.29934397,0.15031607,0.17388548,0.08590297,0.12102567,0.0
49,0.12315654,0.12663008,0.20185386,0.14836016,0.07948349,0.3205159,0.0
50,0.17500354,0.05416033,0.26393032,0.22991227,0.05825897,0.21873456,0.0
51,0.19026114,0.06594569,0.25576594,0.09412816,0.10130884,0.2925902,0.0
52,0.09416217,0.24854413,0.10044108,0.31525528,0.07195822,0.16963917,0.0
53,0.0903075,0.23164944,0.24964646,0.21780974,0.16362764,0.04695922,0.0
54,0.1846834,0.18631181,0.08775992,0.21443184,0.18509696,0.14171608,0.0
55,0.11953759,0.13142203,0.255657,0.10630455,0.26748732,0.11959158,0.0
56,0.07617348,0.15388532,0.14636311,0.28357953,0.24144037,0.09855814,0.0
57,0.06884357,0.3394881,0.06948124,0.34212694,0.09706581,0.08299433,0.0
58,0.10403274,0.13298604,0.09000981,0.19505492,0.24825001,0.22966649,0.0
59,0.10686763,0.06629255,0.1567189,0.18565924,0.3889752,0.09548648,0.0
60,0.09009941,0.17253435,0.27552453,0.1946382,0.11696284,0.1502407,0.0
61,0.18558916,0.2639928,0.23126669,0.11067483,0.07150352,0.13697316,0.0
62,0.13745037,0.18712875,0.16400507,0.1831627,0.26906568,0.05918745,0.0
63,0.23302063,0.10910456,0.06905762,0.370975,0.15630843,0.06153377,0.0
64,0.08733921,0.30551663,0.17165643,0.08923654,0.15483637,0.19141477,0.0
65,0.16180058,0.20538118,0.15092999,0.1644994,0.1203494,0.19703943,0.0
66,0.30746785,0.11805002,0.23414545,0.10395323,0.10776007,0.12862338,0.0
67,0.14619039,0.23854367,0.08610589,0.23078904,0.1586466,0.13972442,0.0
68,0.11323129,0.2959915,0.05857636,0.15311664,0.08846563,0.29061857,0.0
69,0.17659211,0.14144619,0.09664004,0.39867643,0.09381065,0.09283455,0.0
70,0.1507366,0.25939268,0.07930844,0.133109,0.30093098,0.07652234,0.0
71,0.40385664,0.09297097,0.14640069,0.15300131,0.13025197,0.07351832,0.0
72,0.20778705,0.30844942,0.12134068,0.12598172,0.06829229,0.16814886,0.0
73,0.22684327,0.17918526,0.12823626,0.22742994,0.04301437,0.19529095,0.0
74,0.12103385,0.11987863,0.19709556,0.17508525,0.09729902,0.28960773,0.0
75,0.15285791,0.06979155,0.2431241,0.19106393,0.10004314,0.24311928,0.0
76,0.08868857,0.06487129,0.05611441,0.08091255,0.34347168,0.3659415,0.0
77,0.3221085,0.06302688,0.2066757,0.17618412,0.07382248,0.15818235,0.0
78,0.16682647,0.08968987,0.21648674,0.2074671,0.21350048,0.10602935,0.0
79,0.1573407,0.19787413,0.22598004,0.14039855,0.1297169,0.14868969,0.0
80,0.18827672,0.09622025,0.04515604,0.15361655,0.25310698,0.26362345,0.0
81,0.19121107,0.11111797,0.09053197,0.08267823,0.38727507,0.1371857,0.0
82,0.12018622,0.25383002,0.16614702,0.18486191,0.15718569,0.11778907,0.0
83,0.07530601,0.13397859,0.15025336,0.09837971,0.25632802,0.28575435,0.0
84,0.20098345,0.3196747,0.15548357,0.05523891,0.08703404,0.18158536,0.0
85,0.1640071,0.31001025,0.1070972,0.05775402,0.16245978,0.19867168,0.0
86,0.12342695,0.32803255,0.14561711,0.09374628,0.1121854,0.19699162,0.0
87,0.19184454,0.10811088,0.16243139,0.06616419,0.08316982,0.3882792,0.0
88,0.13966373,0.15934749,0.3927448,0.10725124,0.13035344,0.0706393,0.0
89,0.11643931,0.10974776,0.29119343,0.33427292,0.0547213,0.09362534,0.0
90,0.22552396,0.05549027,0.27427718,0.07669134,0.05552385,0.31249344,0.0
91,0.09882896,0.15073948,0.08148827,0.32062972,0.16407979,0.18423383,0.0
92,0.07628325,0.26699603,0.06753943,0.13745683,0.12402886,0.32769558,0.0
93,0.2052346,0.08814624,0.3722133,0.10703121,0.10601967,0.12135489,0.0
94,0.24204405,0.2460213,0.22196165,0.17566688,0.07239543,0.04191067,0.0
