weight,trace,status,rc,final_mr,final_bmr,final_mqps,log_path
0.0,meta,ok,0,0.269178,0.153699,0.66,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p0_cache01_0318_012004.log
0.0,1063,ok,0,0.022956,0.024298,0.44,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p0_cache01_0318_012004.log
0.1,1063,ok,0,0.022882,0.024237,0.44,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p1_cache01_0318_012127.log
0.1,meta,ok,0,0.269189,0.153589,0.60,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p1_cache01_0318_013543.log
0.2,1063,ok,0,0.022873,0.024249,0.37,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p2_cache01_0318_013715.log
0.0,wiki,ok,0,0.171734,0.137324,0.07,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p0_cache01_0318_012004.log
0.2,meta,ok,0,0.269176,0.153864,0.41,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p2_cache01_0318_021129.log
0.1,wiki,ok,0,0.173008,0.140358,0.06,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p1_cache01_0318_013419.log
0.3,1063,ok,0,0.022809,0.024183,0.42,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p3_cache01_rerun_0318_104220.log
0.3,meta,ok,0,0.269172,0.153813,0.58,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p3_cache01_rerun_0318_104220.log
0.2,wiki,ok,0,0.171475,0.138041,0.06,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p2_cache01_0318_015413.log
0.4,1063,ok,0,0.022813,0.024157,0.31,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p4_cache01_0318_023710.log
0.4,meta,ok,0,0.269178,0.153851,0.43,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p4_cache01_0318_025741.log
0.5,1063,ok,0,0.022939,0.024326,0.31,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p5_cache01_0318_025949.log
0.3,wiki,ok,0,0.173086,0.138900,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p3_cache01_0318_023159.log
0.5,meta,ok,0,0.269165,0.153742,0.43,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p5_cache01_0318_033637.log
0.6,1063,ok,0,0.022762,0.024126,0.29,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p6_cache01_0318_033846.log
0.4,wiki,ok,0,0.171775,0.138364,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p4_cache01_0318_025555.log
0.6,meta,ok,0,0.269178,0.153815,0.33,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p6_cache01_0318_040208.log
0.7,1063,ok,0,0.022742,0.024110,0.29,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p7_cache01_0318_040450.log
0.5,wiki,ok,0,0.171407,0.139340,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p5_cache01_0318_031952.log
0.7,meta,ok,0,0.269164,0.153873,0.42,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p7_cache01_0318_042909.log
0.8,1063,ok,0,0.022751,0.024089,0.28,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p8_cache01_0318_043123.log
0.6,wiki,ok,0,0.171476,0.139535,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p6_cache01_0318_040012.log
0.8,meta,ok,0,0.269162,0.154007,0.41,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p8_cache01_0318_051016.log
0.9,1063,ok,0,0.022855,0.024202,0.28,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw0p9_cache01_0318_051232.log
0.7,wiki,ok,0,0.171442,0.139503,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p7_cache01_0318_042626.log
0.9,meta,ok,0,0.269158,0.153996,0.41,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw0p9_cache01_0318_053719.log
1.0,1063,ok,0,0.022709,0.024033,0.31,tmp/transformq0_mrw_sweep_orig3_cache01_0318/1063_transformq0_mrw1p0_cache01_0318_053936.log
0.8,wiki,ok,0,0.171435,0.139460,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p8_cache01_0318_045345.log
1.0,meta,ok,0,0.269174,0.153777,0.47,tmp/transformq0_mrw_sweep_orig3_cache01_0318/meta_transformq0_mrw1p0_cache01_0318_060439.log
0.9,wiki,ok,0,0.171462,0.139509,0.05,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw0p9_cache01_0318_053442.log
1.0,wiki,ok,0,0.171408,0.139663,0.06,tmp/transformq0_mrw_sweep_orig3_cache01_0318/wiki_transformq0_mrw1p0_cache01_0318_060012.log
