src_dir	inferred_date	target_dir	target_exists	src_files	tgt_files	src_size	tgt_size
1063_3m_cache_ratio_20260216_cont	20260216	20260216-1063_3m_cache_ratio_20260216_cont	yes	4	4	24K	24K
1063_best_20251225_100313	20251225	20251225-1063_best_20251225_100313	yes	4	4	48K	48K
1063_cachefeat_r1_20251231_112906	20251231	20251231-1063_cachefeat_r1_20251231_112906	yes	13	13	196K	196K
1063_featnorm_r1_20251229_140452	20251229	20251229-1063_featnorm_r1_20251229_140452	yes	15	15	232K	232K
1063_kitchensink_r1_20251231_144653	20251231	20251231-1063_kitchensink_r1_20251231_144653	yes	10	10	144K	144K
1063_linear_only_20260108_115104	20260108	20260108-1063_linear_only_20260108_115104	yes	4	4	28K	28K
1063_mlp_vs_linear_20260107_180946	20260107	20260107-1063_mlp_vs_linear_20260107_180946	yes	5	5	56K	56K
1063_penalty_3m_20260206_030550	20260206	20260206-1063_penalty_3m_20260206_030550	yes	65	65	784K	788K
1063_quick_r1_20251225_110318	20251225	20251225-1063_quick_r1_20251225_110318	yes	9	9	256K	256K
1063_reward_penalty_r1_20251225_163358	20251225	20251225-1063_reward_penalty_r1_20251225_163358	yes	9	9	244K	244K
1063_scalegrid_noprior_20260203	20260203	20260203-1063_scalegrid_noprior_20260203	yes	7	7	64K	64K
1063_stage2_upgrade_single_seed_20260215_123602	20260215	20260215-1063_stage2_upgrade_single_seed_20260215_123602	yes	1	1	40K	40K
1063_stage2_upgrade_single_seed_20260215_123619	20260215	20260215-1063_stage2_upgrade_single_seed_20260215_123619	yes	3	3	48K	48K
1063_stage2_upgrade_single_seed_20260215_restart_debug0	20260215	20260215-1063_stage2_upgrade_single_seed_20260215_restart_debug0	yes	3	3	48K	48K
1063_tempgrid_noprior_20260203	20260203	20260203-1063_tempgrid_noprior_20260203	yes	9	9	88K	88K
1063_to032_dryrun_20260213	20260213	20260213-1063_to032_dryrun_20260213	yes	3	3	120K	132K
1063_to032_fixcheck_20260213	20260213	20260213-1063_to032_fixcheck_20260213	yes	3	3	116K	128K
1063_wide_r2_20251226_112012	20251226	20251226-1063_wide_r2_20251226_112012	yes	29	29	944K	944K
meta_3m_1212_152109	20260319	20260319-meta_3m_1212_152109	no	15	0	112K	-
meta_best_action_scale_r2_20251222_183925	20251222	20251222-meta_best_action_scale_r2_20251222_183925	yes	13	13	340K	340K
meta_best_action_scale_winner_repeat5_20251222_201349	20251222	20251222-meta_best_action_scale_winner_repeat5_20251222_201349	yes	8	8	176K	176K
meta_best_grid_winner_repeat5_20251222_102624	20251222	20251222-meta_best_grid_winner_repeat5_20251222_102624	yes	8	8	176K	176K
meta_best_scale_fine_r2_20251223_110142	20251223	20251223-meta_best_scale_fine_r2_20251223_110142	yes	15	15	404K	404K
meta_best_v5_idx6_repeat5_20251217_182945	20251217	20251217-meta_best_v5_idx6_repeat5_20251217_182945	yes	8	8	176K	176K
