old_dir	new_dir	status	reason
1063_3m_cache_ratio_20260216_cont	20260216-1063_3m_cache_ratio_20260216_cont	skip	target_exists
1063_best_20251225_100313	20251225-1063_best_20251225_100313	skip	target_exists
1063_breakthrough_compound_scale3	20251063-1063_breakthrough_compound_scale3	rename	name_inferred
1063_breakthrough_compound_scale3_v2	20251063-1063_breakthrough_compound_scale3_v2	rename	name_inferred
1063_cachefeat_r1_20251231_112906	20251231-1063_cachefeat_r1_20251231_112906	skip	target_exists
1063_core_rl_nowait_20260106_215817	20260106-1063_core_rl_nowait_20260106_215817	rename	name_inferred
1063_featnorm_r1_20251229_140452	20251229-1063_featnorm_r1_20251229_140452	skip	target_exists
1063_guided_scale10_flip_20260202	20260202-1063_guided_scale10_flip_20260202	rename	name_inferred
1063_guided_signflip_20260202	20260202-1063_guided_signflip_20260202	rename	name_inferred
1063_guided_softmax_scale5	20251063-1063_guided_softmax_scale5	rename	name_inferred
1063_kitchensink_r1_20251231_144653	20251231-1063_kitchensink_r1_20251231_144653	skip	target_exists
1063_linear_breakthrough_ctx	20251063-1063_linear_breakthrough_ctx	rename	name_inferred
1063_linear_guided_v3	20251063-1063_linear_guided_v3	rename	name_inferred
1063_linear_only_20260108_115104	20260108-1063_linear_only_20260108_115104	skip	target_exists
1063_mlp_vs_linear_20260107_180946	20260107-1063_mlp_vs_linear_20260107_180946	skip	target_exists
1063_penalty_3m_20260206_030550	20260206-1063_penalty_3m_20260206_030550	skip	target_exists
1063_quick_r1_20251225_110318	20251225-1063_quick_r1_20251225_110318	skip	target_exists
1063_reward_penalty_r1_20251225_163358	20251225-1063_reward_penalty_r1_20251225_163358	skip	target_exists
1063_scalegrid_noprior_20260203	20260203-1063_scalegrid_noprior_20260203	skip	target_exists
1063_softmax_ctx_bound5	20251063-1063_softmax_ctx_bound5	rename	name_inferred
1063_stage2_upgrade_single_seed_20260215_123602	20260215-1063_stage2_upgrade_single_seed_20260215_123602	skip	target_exists
1063_stage2_upgrade_single_seed_20260215_123619	20260215-1063_stage2_upgrade_single_seed_20260215_123619	skip	target_exists
1063_stage2_upgrade_single_seed_20260215_rebuild_dbg0	20260215-1063_stage2_upgrade_single_seed_20260215_rebuild_dbg0	rename	name_inferred
1063_stage2_upgrade_single_seed_20260215_restart_debug0	20260215-1063_stage2_upgrade_single_seed_20260215_restart_debug0	skip	target_exists
1063_tempgrid_noprior_20260203	20260203-1063_tempgrid_noprior_20260203	skip	target_exists
1063_to032_20260213_2325	20260213-1063_to032_20260213_2325	rename	name_inferred
1063_to032_dryrun_20260213	20260213-1063_to032_dryrun_20260213	skip	target_exists
1063_to032_fixcheck_20260213	20260213-1063_to032_fixcheck_20260213	skip	target_exists
1063_wide_r1_20251225_215654	20251225-1063_wide_r1_20251225_215654	rename	name_inferred
1063_wide_r2_20251226_112012	20251226-1063_wide_r2_20251226_112012	skip	target_exists
bestcfg_penalty_3t_3m_20260207_000001	20260207-bestcfg_penalty_3t_3m_20260207_000001	rename	name_inferred
bestcfg_statecombo_3t_3m_20260207_000001	20260207-bestcfg_statecombo_3t_3m_20260207_000001	rename	name_inferred
meta_3m_1212_152109	20251212-meta_3m_1212_152109	skip	target_exists
meta_algo_expand_v6_1215_011924	20251215-meta_algo_expand_v6_1215_011924	rename	name_inferred
meta_best_action_scale_r2_20251222_183925	20251222-meta_best_action_scale_r2_20251222_183925	skip	target_exists
meta_best_action_scale_winner_repeat5_20251222_201349	20251222-meta_best_action_scale_winner_repeat5_20251222_201349	skip	target_exists
meta_best_grid_interval_temp_r2_20251217_234028	20251217-meta_best_grid_interval_temp_r2_20251217_234028	rename	name_inferred
meta_best_grid_winner_repeat5_20251222_102624	20251222-meta_best_grid_winner_repeat5_20251222_102624	skip	target_exists
meta_best_scale_fine_r2_20251223_110142	20251223-meta_best_scale_fine_r2_20251223_110142	skip	target_exists
meta_best_v5_idx6_repeat5_20251217_182945	20251217-meta_best_v5_idx6_repeat5_20251217_182945	skip	target_exists
meta_lower_omr_3m_v2_1213_135303	20251213-meta_lower_omr_3m_v2_1213_135303	skip	target_exists
meta_lower_omr_500k_1213_032629	20251213-meta_lower_omr_500k_1213_032629	skip	target_exists
meta_mlp_vs_linear_20260110_181300	20260110-meta_mlp_vs_linear_20260110_181300	rename	name_inferred
meta_precision_refine_v5_1214_212442	20251214-meta_precision_refine_v5_1214_212442	skip	target_exists
meta_refine6_3m_v3_1213_214805	20251213-meta_refine6_3m_v3_1213_214805	skip	target_exists
meta_refine_user_3m_1212_160647	20251212-meta_refine_user_3m_1212_160647	skip	target_exists
meta_reward_algo_v4_1214_014136	20251214-meta_reward_algo_v4_1214_014136	skip	target_exists
meta_reward_algo_v4_20251215_145147	20251215-meta_reward_algo_v4_20251215_145147	skip	target_exists
meta_reward_algo_v4_fix_1214_014409	20251214-meta_reward_algo_v4_fix_1214_014409	skip	target_exists
meta_reward_algo_v4_tqc_only_fix_20251215_211951	20251215-meta_reward_algo_v4_tqc_only_fix_20251215_211951	skip	target_exists
meta_smoke_1212_144755	20251212-meta_smoke_1212_144755	skip	target_exists
meta_smoke_1212_150755	20251212-meta_smoke_1212_150755	skip	target_exists
meta_smoke_fix_1212_151230	20251212-meta_smoke_fix_1212_151230	skip	target_exists
meta_temp_interval_scale_aggr_r2_20251224_205809	20251224-meta_temp_interval_scale_aggr_r2_20251224_205809	rename	name_inferred
meta_temp_scale_grid_r2_20251224_142147	20251224-meta_temp_scale_grid_r2_20251224_142147	skip	target_exists
meta_try_cachefeat_3m_1213_234146	20251213-meta_try_cachefeat_3m_1213_234146	skip	target_exists
meta_try_cachefeat_3m_fix_1214_000103	20251214-meta_try_cachefeat_3m_fix_1214_000103	skip	target_exists
meta_try_candfeat_3m_1214_005451	20251214-meta_try_candfeat_3m_1214_005451	skip	target_exists
modes2_mrw0_0130_112123	20260130-modes2_mrw0_0130_112123	skip	target_exists
modes3_batch_0130_021623	20260130-modes3_batch_0130_021623	skip	target_exists
modes_cpd_soft_sign_3m_20260206_141233	20260206-modes_cpd_soft_sign_3m_20260206_141233	skip	target_exists
modes_cpd_soft_sign_3m_20260206_145822	20260206-modes_cpd_soft_sign_3m_20260206_145822	skip	target_exists
next_1063_localgrid_nosem_3m_20260129_184141	20260129-next_1063_localgrid_nosem_3m_20260129_184141	skip	target_exists
next_1063_localgrid_req1_3m_20260129_184633	20260129-next_1063_localgrid_req1_3m_20260129_184633	skip	target_exists
next_meta_modes_3m_20260129_183751	20260129-next_meta_modes_3m_20260129_183751	skip	target_exists
next_meta_modes_3m_20260129_183812	20260129-next_meta_modes_3m_20260129_183812	skip	target_exists
next_meta_modes_nosem_3m_20260129_184111	20260129-next_meta_modes_nosem_3m_20260129_184111	skip	target_exists
next_meta_modes_req1_3m_20260129_184621	20260129-next_meta_modes_req1_3m_20260129_184621	skip	target_exists
next_wiki_bootstrap_nosem_3m_20260129_184204	20260129-next_wiki_bootstrap_nosem_3m_20260129_184204	skip	target_exists
next_wiki_bootstrap_req1_3m_20260129_184646	20260129-next_wiki_bootstrap_req1_3m_20260129_184646	skip	target_exists
rec3m_1212_133521	20251212-rec3m_1212_133521	skip	target_exists
seedfocus3m_1212_143747	20251212-seedfocus3m_1212_143747	skip	target_exists
seedfocus3m_1212_144046	20251212-seedfocus3m_1212_144046	skip	target_exists
smoke_1212_132049	20251212-smoke_1212_132049	skip	target_exists
sweep_20260106_153622	20260106-sweep_20260106_153622	rename	name_inferred
