idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,101,meta_3m_1212_152109_001_r01,0,0.3774,0.2488,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0
1,2,102,meta_3m_1212_152109_001_r02,0,0.4011,0.2404,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0
1,3,103,meta_3m_1212_152109_001_r03,0,0.3706,0.2377,0.03,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0 TD3_ACTION_NOISE=0.0
2,1,201,meta_3m_1212_152109_002_r01,0,0.3994,0.2365,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10
2,2,202,meta_3m_1212_152109_002_r02,0,0.3738,0.2558,0.03,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10
2,3,203,meta_3m_1212_152109_002_r03,0,0.3930,0.2511,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=TD3 LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0 TD3_ACTION_NOISE=0.10
3,1,301,meta_3m_1212_152109_003_r01,0,0.3875,0.2353,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0
3,2,302,meta_3m_1212_152109_003_r02,0,0.3872,0.2332,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0
3,3,303,meta_3m_1212_152109_003_r03,0,0.3891,0.2362,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=1 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=0.0
4,1,401,meta_3m_1212_152109_004_r01,0,0.3855,0.2350,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0
4,2,402,meta_3m_1212_152109_004_r02,0,0.3847,0.2351,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0
4,3,403,meta_3m_1212_152109_004_r03,0,0.3854,0.2351,0.02,data/MetaCDN/meta_reag.oracleGeneral.zst,0.1,LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_USE_SOFTMAX=0 LOH_DUAL_CHANNEL=0 LOH_REWARD_MODE=absolute LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.0 LOH_WEIGHT_CLIP=1.0
