idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,2,0.368100,0.000000,0.218050,0.000212,0.040000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
2,2,0.397450,0.002051,0.246500,0.004808,0.030000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
3,2,0.397650,0.000778,0.253300,0.001273,0.030000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=1 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
4,2,0.415300,0.000849,0.238300,0.000566,0.030000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
5,2,0.390650,0.000354,0.235750,0.000636,0.030000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
6,2,0.368000,0.000000,0.217500,0.000000,0.040000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
7,2,0.368100,0.000000,0.217850,0.000071,0.040000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.7 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
8,2,0.368250,0.000071,0.218000,0.000141,0.040000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=2.0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
9,2,0.368100,0.000000,0.218050,0.000212,0.040000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.95 LOH_WEIGHT_CLIP=0.5
10,2,0.368200,0.000000,0.218150,0.000071,0.100000,0.000000,LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=1000 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
