idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,101,meta_precision_refine_v5_1214_212442_001_r01,0,0.367987,0.217459,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
1,2,102,meta_precision_refine_v5_1214_212442_001_r02,0,0.367997,0.217463,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,1,201,meta_precision_refine_v5_1214_212442_002_r01,0,0.368016,0.217470,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.7 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,2,202,meta_precision_refine_v5_1214_212442_002_r02,0,0.368025,0.217782,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.7 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
3,1,301,meta_precision_refine_v5_1214_212442_003_r01,0,0.367983,0.217512,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
3,2,302,meta_precision_refine_v5_1214_212442_003_r02,0,0.367982,0.217495,0.02,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
4,1,401,meta_precision_refine_v5_1214_212442_004_r01,0,0.367983,0.217525,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
4,2,402,meta_precision_refine_v5_1214_212442_004_r02,0,0.367982,0.217458,0.02,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,1,501,meta_precision_refine_v5_1214_212442_005_r01,0,0.368007,0.217512,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.3 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,2,502,meta_precision_refine_v5_1214_212442_005_r02,0,0.367993,0.217512,0.02,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.3 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
