idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,2,0.367992,0.000007,0.217461,0.000003,0.010000,0.000000,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
2,2,0.368020,0.000006,0.217626,0.000221,0.010000,0.000000,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.7 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
3,2,0.367982,0.000001,0.217504,0.000012,0.015000,0.007071,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
4,2,0.367982,0.000001,0.217492,0.000047,0.015000,0.007071,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=0.7 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
5,2,0.368000,0.000010,0.217512,0.000000,0.015000,0.007071,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.3 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
6,2,0.367980,0.000002,0.217538,0.000033,0.010000,0.000000,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=250 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
7,2,0.368078,0.000004,0.217460,0.000006,0.090000,0.000000,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=1000 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
8,2,0.367984,0.000003,0.217495,0.000000,0.020000,0.000000,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.95 LOH_WEIGHT_CLIP=1.0
9,2,0.367988,0.000004,0.217602,0.000026,0.010000,0.000000,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=0.5
10,2,0.367995,0.000006,0.217610,0.000038,0.015000,0.007071,LOH_PARALLEL_SAFE=1 CACHESIM_NUM_REQ=3000000 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=2.0
