trace_file,sweep_id,idx,n,miss_ratio_mean,byte_miss_ratio_mean,throughput_mqps_mean,config
data/MetaCDN/meta_reag.oracleGeneral.zst,modes2_mrw0_0130_112123__meta_reag.oracleGeneral.zst,1,1,0.368023,0.218105,0.020000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/MetaCDN/meta_reag.oracleGeneral.zst,modes2_mrw0_0130_112123__meta_reag.oracleGeneral.zst,2,1,0.367959,0.217457,0.030000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/TencentCBS/1063.oracleGeneral.zst,modes2_mrw0_0130_112123__1063.oracleGeneral.zst,1,1,0.405658,0.368856,0.020000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/TencentCBS/1063.oracleGeneral.zst,modes2_mrw0_0130_112123__1063.oracleGeneral.zst,2,1,0.373018,0.329636,0.020000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/WikiCDN/wiki_2019t.oracleGeneral.zst,modes2_mrw0_0130_112123__wiki_2019t.oracleGeneral.zst,1,1,0.595771,0.475249,0.010000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/WikiCDN/wiki_2019t.oracleGeneral.zst,modes2_mrw0_0130_112123__wiki_2019t.oracleGeneral.zst,2,1,0.599045,0.482186,0.010000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/Alibaba/4.oracleGeneral.zst,modes2_mrw0_0130_112123__4.oracleGeneral.zst,1,1,0.078385,0.106589,0.030000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/Alibaba/4.oracleGeneral.zst,modes2_mrw0_0130_112123__4.oracleGeneral.zst,2,1,0.075593,0.097003,0.030000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/MetaKV/202401_kv_traces_all_sort.csv.oracleGeneral.zst,modes2_mrw0_0130_112123__202401_kv_traces_all_sort.csv.oracleGeneral.zst,1,1,0.252720,0.245458,0.020000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
data/MetaKV/202401_kv_traces_all_sort.csv.oracleGeneral.zst,modes2_mrw0_0130_112123__202401_kv_traces_all_sort.csv.oracleGeneral.zst,2,1,0.238511,0.228688,0.020000,LOH_DEBUG_LEVEL=0 LOH_RL_ALGO=SAC LOH_SCORE_MODEL=linear LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_MISS_RATIO_WEIGHT=0.0
