trace,req,algo,miss_ratio,byte_miss_ratio,mqps,status
data/TencentCBS/1063.oracleGeneral.zst,360960512,LRU,0.261774,0.220946,2.54,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,LRU,0.230638,0.161934,1.51,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,LRU,0.326804,0.175302,3.00,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,GDSF,0.054791,0.058776,0.33,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,GDSF,0.180493,0.152894,0.20,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,GDSF,0.268918,0.152952,0.27,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,LFU,0.620074,0.650999,2.67,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,LFU,0.220032,0.155211,1.40,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,LFU,0.465043,0.437369,2.96,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,LFUDA,,,,fail(rc=143)
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,LFUDA,0.193518,0.134803,0.87,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,LFUDA,0.356184,0.183358,1.63,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,S3FIFO,0.260116,0.215841,1.32,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,S3FIFO,0.187962,0.129958,1.08,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,S3FIFO,0.326397,0.170717,1.63,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,Belady,0.147024,0.124058,1.33,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,Belady,0.134717,0.093238,0.75,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,Belady,0.268778,0.144016,1.51,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,BeladySize,0.018200,0.018689,0.74,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,BeladySize,0.124325,0.104216,0.29,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,BeladySize,0.268778,0.144016,3.51,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,3LCache,0.252227,0.207182,0.46,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,3LCache,0.182787,0.126047,0.31,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,3LCache,0.324215,0.170269,0.38,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,3LCache,0.060630,0.062025,0.54,ok
data/WikiCDN/wiki_2019t.oracleGeneral.zst,207646002,3LCache,0.174871,0.153405,0.31,ok
data/MetaCDN/meta_reag.oracleGeneral.zst,45623306,3LCache,0.392964,0.192144,0.39,ok
data/TencentCBS/1063.oracleGeneral.zst,360960512,LFUDA,,,,fail(rc=147)
