trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",1,1,0,0,0,1,1,0.364452,0.348691,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c040_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,0,0,1,1,1,0.365101,0.349418,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c018_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,0,0,1,1,0.365761,0.350284,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c010_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,0,0,0,1,1,0.365815,0.349104,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c028_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,1,0,0,0,0,0.365975,0.349886,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c031_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,0,1,0,0.366116,0.349774,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c004_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,1,0,1,0,0.366209,0.350561,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c023_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,1,1,0,0,0,0,0.366326,0.348922,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c043_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,1,1,0,1,1,0,0.366336,0.348478,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c024_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",1,0,1,0,1,0,1,0.366354,0.350133,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c033_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
