trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
1063,"compound=0,irt=0",0,0,0,0,0,0,1,0.368753,0.350852,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c001_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,0,0,0,NA,NA,NA,143,bestcfg_statecombo_3t_3m_20260207_000001__1063__c001_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0,0,1,0.372486,0.357297,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c002_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0,0,0,0.372624,0.355213,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c002_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,1,0,1,0.369503,0.352132,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c003_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,1,0,0,0.369732,0.353391,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c003_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,0,1,1,0.369283,0.352458,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c004_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,0,1,0,0.366116,0.349774,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c004_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0,1,1,0.370272,0.353468,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c005_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0,1,0,0.367482,0.351647,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c005_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,1,1,1,0.366514,0.350334,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c006_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,0,1,1,0,0.368388,0.350683,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c006_002_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,0,0,0,1,0.367053,0.350493,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__1063__c007_001_r01,LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
