include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,1,1
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,0,1,0
0,0,1,0,0,1
0,0,1,1,0,1
0,0,1,0,1,1
0,1,0,0,0,0
0,1,0,1,0,0
0,1,0,0,1,0
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,0,1,1
0,1,1,0,0,0
0,1,1,1,0,0
0,1,1,0,1,0
0,1,1,0,0,1
0,1,1,1,0,1
0,1,1,0,1,1
1,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,1,0
1,0,0,0,0,1
1,0,0,1,0,1
1,0,0,0,1,1
1,0,1,0,0,0
1,0,1,1,0,0
1,0,1,0,1,0
1,0,1,0,0,1
1,0,1,1,0,1
1,0,1,0,1,1
1,1,0,0,0,0
1,1,0,1,0,0
1,1,0,0,1,0
1,1,0,0,0,1
1,1,0,1,0,1
1,1,0,0,1,1
1,1,1,0,0,0
1,1,1,1,0,0
1,1,1,0,1,0
1,1,1,0,0,1
1,1,1,1,0,1
1,1,1,0,1,1
