idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,2,0.367977,0.000001,0.217512,0.000076,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.8 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
2,2,0.367966,0.000003,0.217520,0.000006,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
3,2,0.367961,0.000001,0.217590,0.000017,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=200 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
4,2,0.367981,0.000004,0.217605,0.000113,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.8 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=250 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
5,2,0.367968,0.000001,0.217553,0.000041,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=250 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
6,2,0.367969,0.000000,0.217529,0.000103,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=250 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
7,2,0.368008,0.000010,0.217573,0.000068,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.8 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=300 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
8,2,0.367991,0.000003,0.217521,0.000012,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.0 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=300 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
9,2,0.367984,0.000000,0.217546,0.000029,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.3 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=300 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
10,2,0.367999,0.000006,0.217533,0.000105,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=0.8 LOH_ACTION_SCALE=1.0 RL_UPDATE_INTERVAL=400 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
