idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,3101,meta_lower_omr_3m_v2_1213_135303_001_r01,0,0.3681,0.2179,0.04,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
1,2,3102,meta_lower_omr_3m_v2_1213_135303_001_r02,0,0.3681,0.2182,0.04,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,1,3201,meta_lower_omr_3m_v2_1213_135303_002_r01,0,0.3960,0.2499,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,2,3202,meta_lower_omr_3m_v2_1213_135303_002_r02,0,0.3989,0.2431,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
3,1,3301,meta_lower_omr_3m_v2_1213_135303_003_r01,0,0.3982,0.2542,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=1 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
3,2,3302,meta_lower_omr_3m_v2_1213_135303_003_r02,0,0.3971,0.2524,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=1 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
4,1,3401,meta_lower_omr_3m_v2_1213_135303_004_r01,0,0.4159,0.2387,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
4,2,3402,meta_lower_omr_3m_v2_1213_135303_004_r02,0,0.4147,0.2379,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,1,3501,meta_lower_omr_3m_v2_1213_135303_005_r01,0,0.3909,0.2353,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,2,3502,meta_lower_omr_3m_v2_1213_135303_005_r02,0,0.3904,0.2362,0.03,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_ACTION_BOUND=1.0 LOH_ACTION_SCALE=1.0 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
