idx,rep,seed,run_timestamp,exit_code,miss_ratio,byte_miss_ratio,throughput_mqps,trace_file,cache_ratio,config
1,1,7101,meta_refine6_3m_v3_1213_214805_001_r01,0,0.3681,0.2179,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
1,2,7102,meta_refine6_3m_v3_1213_214805_001_r02,0,0.3681,0.2178,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,1,7201,meta_refine6_3m_v3_1213_214805_002_r01,0,0.3680,0.2174,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
2,2,7202,meta_refine6_3m_v3_1213_214805_002_r02,0,0.3680,0.2175,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
3,1,7301,meta_refine6_3m_v3_1213_214805_003_r01,0,0.3680,0.2176,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.7 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
3,2,7302,meta_refine6_3m_v3_1213_214805_003_r02,0,0.3680,0.2175,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFTMAX_TEMP=0.7 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
4,1,7401,meta_refine6_3m_v3_1213_214805_004_r01,0,0.3680,0.2178,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=2.0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
4,2,7402,meta_refine6_3m_v3_1213_214805_004_r02,0,0.3681,0.2173,0.01,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_ACTION_SCALE=2.0 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=500 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,1,7501,meta_refine6_3m_v3_1213_214805_005_r01,0,0.3681,0.2175,0.08,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=1000 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
5,2,7502,meta_refine6_3m_v3_1213_214805_005_r02,0,0.3681,0.2176,0.08,"data/MetaCDN/meta_reag.oracleGeneral.zst",0.1,"LOH_INCLUDE_REQUEST=1 LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_RL_ALGO=SAC LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 RL_UPDATE_INTERVAL=1000 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0"
