idx,n,miss_ratio_mean,miss_ratio_std,byte_miss_ratio_mean,byte_miss_ratio_std,throughput_mqps_mean,throughput_mqps_std,config
1,2,0.367959,0.000001,0.217592,0.000038,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.5 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
2,2,0.367958,0.000001,0.217502,0.000012,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.5 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=180 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
3,2,0.367959,0.000000,0.217529,0.000127,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.5 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=220 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
4,2,0.367958,0.000001,0.217494,0.000000,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.5 LOH_ACTION_SCALE=0.65 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
5,2,0.367958,0.000001,0.217548,0.000000,0.005000,0.007071,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.5 LOH_ACTION_SCALE=0.65 RL_UPDATE_INTERVAL=180 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
6,2,0.367959,0.000001,0.217529,0.000050,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.5 LOH_ACTION_SCALE=0.65 RL_UPDATE_INTERVAL=220 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
7,2,0.367959,0.000001,0.217602,0.000076,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
8,2,0.367959,0.000001,0.217583,0.000026,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=180 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
9,2,0.367959,0.000000,0.217556,0.000064,0.010000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.5 RL_UPDATE_INTERVAL=220 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
10,2,0.367959,0.000000,0.217494,0.000076,0.000000,0.000000,LOH_PARALLEL_SAFE=1 LOH_INCLUDE_REQUEST=1 LOH_RL_ALGO=SAC LOH_FEATURE_LOG1P=1 LOH_FEATURE_LOG1P_RECIPROCAL=0 LOH_ENABLE_FEATURE_NORMALIZATION=1 LOH_USE_HEURISTIC_SIGNS=1 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_DUAL_CHANNEL=0 LOH_USE_SOFTMAX=1 LOH_SOFT_PRIOR=0 LOH_SOFTMAX_TEMP=1.6 LOH_ACTION_SCALE=0.65 RL_UPDATE_INTERVAL=150 LOH_WEIGHT_EMA=0.9 LOH_WEIGHT_CLIP=1.0
