trace,mode,compound,irt,softmax,signs,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,config
1063,compound=1,1,,0,0,0.371348,0.354818,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_001_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,compound=1,1,,0,1,0.370179,0.352702,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_002_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=1
1063,compound=1,1,,1,0,0.422620,0.401954,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_003_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
1063,compound=1,1,,1,1,0.423067,0.402095,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_004_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=1
1063,"compound=0,irt=0",0,0,0,0,0.365686,0.348606,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_005_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,0,1,0.369175,0.351596,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_006_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=1
1063,"compound=0,irt=0",0,0,1,0,0.420310,0.400529,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_007_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
1063,"compound=0,irt=0",0,0,1,1,0.601121,0.572551,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_1063_008_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=0 LOH_SCORE_USE_IRT=0 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=1
meta_reag,compound=1,1,,0,0,0.397913,0.244240,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_meta_reag_001_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,,0,1,0.398412,0.241391,0.0100,0,modes_cpd_soft_sign_3m_20260206_145822_meta_reag_002_r01,LOH_SKIP_PIP_INSTALL=1 LOH_SKIP_BUILD=1 LOH_PARALLEL_SAFE=1 CACHESIM_VERBOSE=0 CACHESIM_NUM_REQ=3000000 LOH_RL_ALGO=SAC LOH_ACTION_SCALE=1.0 LOH_SCORE_USE_COMPOUND=1 LOH_USE_SOFTMAX=0 LOH_USE_HEURISTIC_SIGNS=1
